@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
10,1,-0.804543,0.030472,0.023218,0.116137,1,1
0,1,-0.778089,0.061494,0.130247,0.098070,1,1
35,1,-0.813556,0.015924,-0.092954,0.000216,1,1
39,1,-0.755090,-0.119996,-0.139540,-0.025833,1,1
33,1,-0.810729,0.017760,-0.091662,-0.048522,1,1
8,1,-0.879990,0.011683,0.131059,0.119273,1,1
23,1,-0.928144,-0.081719,-0.161255,-0.033697,0,1
32,1,-0.818227,0.008844,-0.108290,-0.022674,1,1
6,1,-0.759261,-0.000747,0.136055,0.067590,1,1
13,1,-0.861270,-0.042857,0.070124,0.053237,1,1
7,1,-0.865627,0.053803,0.093218,0.065945,1,1
2,1,-0.800758,0.088796,0.189358,0.054950,1,1
20,1,-0.780182,-0.048255,-0.101468,-0.011892,1,1
18,1,-0.815538,0.043033,0.178057,0.058980,1,1
21,1,-0.763068,0.001627,-0.136712,0.022989,1,1
9,1,-0.785633,0.047516,0.223352,0.076475,1,1
3,1,-0.789554,0.051675,0.178512,0.149833,1,1
4,1,-0.878266,-0.053578,0.119155,0.126320,1,1
15,1,-0.799997,-0.005774,0.041666,0.066376,1,1
11,1,-0.805697,0.027970,0.227036,0.034550,1,1
5,1,-0.898325,-0.092399,0.184290,0.001297,1,1
19,1,-0.800734,-0.038109,0.101833,0.071400,1,1
25,1,-0.743207,-0.023873,-0.097861,-0.124498,1,1
22,1,-0.863351,-0.020864,-0.024621,-0.027351,1,1
37,1,-0.685125,-0.077336,-0.139101,-0.004119,1,1
17,1,-0.800057,0.011687,0.130901,0.113251,1,1
27,1,-0.776867,-0.099308,-0.098854,-0.096914,1,1
1,1,-0.867183,-0.019640,0.157380,-0.015081,1,1
28,1,-0.842135,-0.042688,0.016809,-0.039839,1,1
26,1,-0.807474,-0.003086,-0.154523,-0.087887,1,1
29,1,-0.821799,0.006343,-0.125077,-0.103013,1,1
16,1,-0.879915,0.051129,0.145116,0.059091,1,1
24,1,-0.823652,-0.089007,-0.099828,0.060023,1,1
34,1,-0.822801,-0.059578,-0.135154,-0.042613,1,1
31,1,-0.689682,-0.034291,-0.057638,-0.060742,1,1
30,1,-0.853643,0.013873,-0.037708,-0.095615,1,1
12,1,-0.744502,0.055652,0.128069,0.055501,1,1
38,1,-0.873175,-0.038023,-0.137247,-0.067559,1,1
