@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
9,1,-0.785633,0.047516,0.223352,0.076475,1,1
5,1,-0.898325,-0.092399,0.184290,0.001297,1,1
25,1,-0.743207,-0.023873,-0.097861,-0.124498,1,1
37,1,-0.685125,-0.077336,-0.139101,-0.004119,1,1
24,1,-0.823652,-0.089007,-0.099828,0.060023,1,1
16,1,-0.879915,0.051129,0.145116,0.059091,1,1
18,1,-0.815538,0.043033,0.178057,0.058980,1,1
11,1,-0.805697,0.027970,0.227036,0.034550,1,1
13,1,-0.861270,-0.042857,0.070124,0.053237,1,1
6,1,-0.759261,-0.000747,0.136055,0.067590,1,1
28,1,-0.842135,-0.042688,0.016809,-0.039839,1,1
33,1,-0.810729,0.017760,-0.091662,-0.048522,1,1
0,1,-0.778089,0.061494,0.130247,0.098070,1,1
26,1,-0.807474,-0.003086,-0.154523,-0.087887,1,1
38,1,-0.873175,-0.038023,-0.137247,-0.067559,1,1
20,1,-0.780182,-0.048255,-0.101468,-0.011892,1,1
14,1,-0.755684,0.001018,0.106345,0.028216,1,1
31,1,-0.689682,-0.034291,-0.057638,-0.060742,1,1
1,1,-0.867183,-0.019640,0.157380,-0.015081,1,1
36,1,-0.725573,0.001902,-0.078272,-0.130773,1,1
17,1,-0.800057,0.011687,0.130901,0.113251,1,1
30,1,-0.853643,0.013873,-0.037708,-0.095615,1,1
15,1,-0.799997,-0.005774,0.041666,0.066376,1,1
4,1,-0.878266,-0.053578,0.119155,0.126320,1,1
8,1,-0.879990,0.011683,0.131059,0.119273,1,1
21,1,-0.763068,0.001627,-0.136712,0.022989,1,1
19,1,-0.800734,-0.038109,0.101833,0.071400,1,1
3,1,-0.789554,0.051675,0.178512,0.149833,1,1
34,1,-0.822801,-0.059578,-0.135154,-0.042613,1,1
10,1,-0.804543,0.030472,0.023218,0.116137,1,1
29,1,-0.821799,0.006343,-0.125077,-0.103013,1,1
7,1,-0.865627,0.053803,0.093218,0.065945,1,1
23,1,-0.928144,-0.081719,-0.161255,-0.033697,0,1
27,1,-0.776867,-0.099308,-0.098854,-0.096914,1,1
2,1,-0.800758,0.088796,0.189358,0.054950,1,1
39,1,-0.755090,-0.119996,-0.139540,-0.025833,1,1
35,1,-0.813556,0.015924,-0.092954,0.000216,1,1
32,1,-0.818227,0.008844,-0.108290,-0.022674,1,1
22,1,-0.863351,-0.020864,-0.024621,-0.027351,1,1
12,1,-0.744502,0.055652,0.128069,0.055501,1,1
53,2,-0.796493,0.023512,0.194460,0.084548,1,1
41,2,-0.811378,-0.012344,0.102763,0.079696,1,1
65,2,-0.884926,0.011790,-0.034022,-0.020654,1,1
74,2,-0.834954,-0.082030,-0.083072,-0.047247,1,1
60,2,-0.710761,-0.041202,-0.169232,-0.092786,1,1
54,2,-0.892870,-0.013136,0.183047,0.000796,1,1
78,2,-0.693568,-0.042917,-0.076466,-0.015718,1,1
55,2,-0.814774,0.016731,0.063484,0.058943,1,1
44,2,-0.830640,-0.002481,0.149729,0.098190,1,1
42,2,-0.873510,0.106261,0.087341,0.128836,1,0
58,2,-0.814872,0.041819,0.132374,-0.012553,1,1
66,2,-0.904604,0.033226,-0.025494,0.014806,1,1
48,2,-0.817707,-0.111616,0.145724,0.062883,1,1
70,2,-0.790832,-0.005913,-0.060194,-0.013750,1,1
75,2,-0.810080,-0.143454,-0.089559,-0.090429,1,1
62,2,-0.810223,-0.090818,-0.080782,-0.071084,1,1
67,2,-0.829313,-0.011367,-0.083873,0.007991,1,1
61,2,-0.717677,0.000387,-0.047090,-0.053863,1,1
59,2,-0.776395,-0.013399,0.120046,0.037117,1,1
51,2,-0.775058,0.091833,0.069637,0.112044,1,1
56,2,-0.874717,0.048248,0.093618,0.041208,1,1
69,2,-0.830285,-0.084939,-0.099713,-0.117753,1,1
76,2,-0.772921,-0.050084,-0.022649,-0.057855,1,1
49,2,-0.742811,-0.039953,0.140673,0.109473,1,1
52,2,-0.778301,0.035945,0.179989,0.054704,1,1
79,2,-0.853325,-0.060181,-0.109185,0.085651,1,1
46,2,-0.878912,0.084762,0.086119,0.134854,1,0
71,2,-0.750881,-0.031183,-0.132146,0.041135,1,1
64,2,-0.818842,-0.000568,-0.047070,-0.006536,1,1
73,2,-0.740433,-0.073780,-0.043964,0.013934,1,1
50,2,-0.825652,-0.066263,0.173819,0.096105,1,1
45,2,-0.780984,0.034733,0.094459,0.091644,1,1
72,2,-0.871083,-0.064959,-0.172913,0.047884,1,1
77,2,-0.848815,-0.019139,-0.033939,0.055678,1,1
40,2,-0.782539,-0.057583,0.073338,0.133472,1,1
68,2,-0.854294,0.004963,-0.134586,-0.049908,1,1
43,2,-0.943867,-0.064619,0.065095,0.048661,1,1
47,2,-0.851586,0.031203,0.134073,0.023024,1,1
57,2,-0.813501,0.069734,0.152282,0.111921,1,1
63,2,-0.826263,-0.068147,-0.115170,-0.059238,1,1
101,3,-0.833101,-0.082871,0.021768,-0.033755,1,1
117,3,-0.859745,0.048516,-0.012159,-0.041219,1,1
93,3,-0.791329,-0.060852,0.026351,0.015051,1,1
116,3,-0.836922,-0.120924,-0.150424,-0.012604,1,1
107,3,-0.718132,-0.074632,-0.136487,-0.085348,1,1
113,3,-0.837246,-0.100301,-0.068543,0.010036,1,1
98,3,-0.865423,0.019256,0.113780,0.069896,1,1
115,3,-0.807145,-0.121652,-0.118547,-0.012299,1,1
108,3,-0.850839,0.044997,-0.165894,0.022013,1,1
86,3,-0.825008,0.018954,0.059085,0.120210,1,1
90,3,-0.928521,-0.054934,0.051472,0.114332,1,1
88,3,-0.750478,0.027962,0.115101,0.030276,1,1
82,3,-0.833289,-0.078860,0.141104,0.045781,1,1
80,3,-0.764964,-0.053297,0.164118,-0.024144,1,1
81,3,-0.791052,0.057372,0.092716,0.069692,1,1
91,3,-0.815784,-0.034605,0.099490,0.037462,1,1
96,3,-0.849872,-0.013954,0.136050,0.143950,1,1
92,3,-0.783571,0.034453,0.089193,0.138379,1,1
102,3,-0.848412,-0.071265,-0.052539,-0.056588,1,1
89,3,-0.844424,-0.018633,0.156333,0.055253,1,1
87,3,-0.821491,-0.047373,0.056484,0.006886,1,1
110,3,-0.734135,-0.005205,-0.116839,-0.009215,1,1
95,3,-0.753488,0.040943,0.170621,0.065425,1,1
104,3,-0.746021,-0.072643,-0.107731,-0.075325,1,1
100,3,-0.758997,-0.134208,-0.147167,-0.067846,1,1
112,3,-0.703467,0.024794,-0.153460,-0.017292,1,1
111,3,-0.749881,-0.023410,-0.094862,-0.108809,1,1
106,3,-0.798727,-0.092645,-0.077160,-0.114280,1,1
