global_id,timestamp,f1,f2,f3,f4,f5,class_0,class_1
24,1,-0.816325,0.164756,-0.377319,-0.251714,-0.192218,1,1
27,1,-0.799234,0.209819,-0.381940,-0.316098,-0.330659,1,1
6,1,-0.848486,0.221896,-0.246877,-0.323338,-0.221298,1,1
19,1,-0.816019,0.115696,-0.346208,-0.260328,-0.240768,1,1
10,1,-0.749679,0.196595,-0.282323,-0.241955,-0.217027,1,1
36,1,-0.757600,0.166585,-0.370723,-0.208250,-0.259002,1,1
34,1,-0.846765,0.132905,-0.253500,-0.389045,-0.236761,1,1
31,1,-0.845719,0.212190,-0.311155,-0.333484,-0.279943,1,1
35,1,-0.804822,0.084076,-0.394277,-0.372196,-0.317559,1,1
2,1,-0.848297,0.118658,-0.353589,-0.253293,-0.267169,1,1
39,1,-0.722158,0.200602,-0.380808,-0.254116,-0.351054,1,1
17,1,-0.865645,0.201405,-0.279880,-0.352850,-0.258951,1,1
29,1,-0.802629,0.164001,-0.314032,-0.354926,-0.334904,1,1
21,1,-0.807937,0.035313,-0.322964,-0.284875,-0.260030,0,1
8,1,-0.777746,0.210055,-0.267611,-0.318690,-0.243765,1,1
30,1,-0.823927,0.060101,-0.371685,-0.230767,-0.343259,1,1
5,1,-0.773212,0.172512,-0.280318,-0.314275,-0.237690,1,1
14,1,-0.846550,0.162679,-0.292085,-0.183592,-0.226589,1,1
22,1,-0.838465,0.066506,-0.228609,-0.213982,-0.316210,1,1
16,1,-0.798407,0.236314,-0.239714,-0.283986,-0.176758,1,1
12,1,-0.799545,0.072713,-0.336812,-0.286163,-0.240681,1,1
25,1,-0.782248,0.104738,-0.394845,-0.384966,-0.212819,1,1
4,1,-0.864838,0.117686,-0.354783,-0.199765,-0.207985,1,1
38,1,-0.867872,0.075309,-0.352973,-0.332800,-0.251936,1,1
28,1,-0.889979,0.120289,-0.328896,-0.346229,-0.350454,1,1
13,1,-0.813823,0.167314,-0.359046,-0.269002,-0.251030,1,1
32,1,-0.883228,0.142570,-0.266313,-0.293780,-0.278431,1,1
11,1,-0.836532,0.180846,-0.236545,-0.217692,-0.373982,1,1
15,1,-0.676851,0.203293,-0.344175,-0.319916,-0.136577,1,1
18,1,-0.820012,0.184428,-0.305904,-0.250630,-0.211250,1,1
3,1,-0.893302,0.204227,-0.243019,-0.304798,-0.280005,1,1
33,1,-0.893849,0.171504,-0.273993,-0.276789,-0.216239,1,1
37,1,-0.786189,0.159147,-0.300740,-0.366245,-0.262787,1,1
23,1,-0.854792,0.149096,-0.368719,-0.264774,-0.307891,1,1
9,1,-0.811807,0.178210,-0.265727,-0.322220,-0.269214,1,1
0,1,-0.835648,0.259218,-0.315123,-0.227205,-0.236063,1,1
7,1,-0.781432,0.197689,-0.258234,-0.369933,-0.235818,1,1
20,1,-0.768566,0.165623,-0.316436,-0.317667,-0.217047,1,1
26,1,-0.763110,0.075151,-0.385616,-0.261525,-0.366762,1,1
1,1,-0.839911,0.171341,-0.431346,-0.345134,-0.226967,1,1
59,2,-0.809679,0.301318,-0.428236,-0.306134,-0.198268,1,0
77,2,-0.734961,0.175026,-0.338378,-0.322088,-0.291450,1,1
61,2,-0.855594,0.227023,-0.359201,-0.337801,-0.164765,1,1
78,2,-0.801603,0.145725,-0.356276,-0.372021,-0.213928,1,1
66,2,-0.761104,0.035378,-0.349508,-0.310615,-0.259060,0,1
56,2,-0.889582,0.162804,-0.254101,-0.261961,-0.312809,1,1
50,2,-0.864766,0.270104,-0.208457,-0.249683,-0.281775,1,1
73,2,-0.898603,0.117568,-0.338934,-0.256529,-0.288533,1,1
57,2,-0.739605,0.225021,-0.312262,-0.304349,-0.334484,1,1
55,2,-0.834396,0.117235,-0.258409,-0.290056,-0.284696,1,1
44,2,-0.754438,0.197000,-0.322080,-0.313339,-0.260367,1,1
64,2,-0.807600,0.121591,-0.287034,-0.386603,-0.238898,1,1
49,2,-0.910603,0.223381,-0.340318,-0.291593,-0.290583,1,1
52,2,-0.740747,0.148582,-0.305520,-0.347666,-0.216270,1,1
43,2,-0.765087,0.290923,-0.324882,-0.174528,-0.256459,1,0
74,2,-0.661624,0.206017,-0.394092,-0.303395,-0.311967,1,1
75,2,-0.774819,0.038586,-0.394333,-0.219274,-0.261643,0,1
48,2,-0.784852,0.161267,-0.218090,-0.227632,-0.258482,1,1
46,2,-0.777286,0.204592,-0.290598,-0.226702,-0.255606,1,1
54,2,-0.816281,0.185774,-0.284778,-0.247866,-0.168555,1,1
40,2,-0.758800,0.204646,-0.356857,-0.302005,-0.336660,1,1
60,2,-0.845569,0.126699,-0.375574,-0.365381,-0.232570,1,1
45,2,-0.684913,0.186163,-0.262940,-0.259234,-0.137544,1,1
51,2,-0.851084,0.184467,-0.317116,-0.208888,-0.327072,1,1
76,2,-0.776311,0.123637,-0.243506,-0.318486,-0.335390,1,1
70,2,-0.815477,0.153816,-0.369267,-0.326320,-0.422162,1,1
