global_id,timestamp,f1,f2,f3,f4,f5,class_0,class_1
35,1,-0.804822,0.084076,-0.394277,-0.372196,-0.317559,1,1
28,1,-0.889979,0.120289,-0.328896,-0.346229,-0.350454,1,1
9,1,-0.811807,0.178210,-0.265727,-0.322220,-0.269214,1,1
15,1,-0.676851,0.203293,-0.344175,-0.319916,-0.136577,1,1
39,1,-0.722158,0.200602,-0.380808,-0.254116,-0.351054,1,1
27,1,-0.799234,0.209819,-0.381940,-0.316098,-0.330659,1,1
6,1,-0.848486,0.221896,-0.246877,-0.323338,-0.221298,1,1
13,1,-0.813823,0.167314,-0.359046,-0.269002,-0.251030,1,1
23,1,-0.854792,0.149096,-0.368719,-0.264774,-0.307891,1,1
29,1,-0.802629,0.164001,-0.314032,-0.354926,-0.334904,1,1
25,1,-0.782248,0.104738,-0.394845,-0.384966,-0.212819,1,1
37,1,-0.786189,0.159147,-0.300740,-0.366245,-0.262787,1,1
30,1,-0.823927,0.060101,-0.371685,-0.230767,-0.343259,1,1
36,1,-0.757600,0.166585,-0.370723,-0.208250,-0.259002,1,1
24,1,-0.816325,0.164756,-0.377319,-0.251714,-0.192218,1,1
2,1,-0.848297,0.118658,-0.353589,-0.253293,-0.267169,1,1
11,1,-0.836532,0.180846,-0.236545,-0.217692,-0.373982,1,1
22,1,-0.838465,0.066506,-0.228609,-0.213982,-0.316210,1,1
38,1,-0.867872,0.075309,-0.352973,-0.332800,-0.251936,1,1
34,1,-0.846765,0.132905,-0.253500,-0.389045,-0.236761,1,1
3,1,-0.893302,0.204227,-0.243019,-0.304798,-0.280005,1,1
1,1,-0.839911,0.171341,-0.431346,-0.345134,-0.226967,1,1
0,1,-0.835648,0.259218,-0.315123,-0.227205,-0.236063,1,1
19,1,-0.816019,0.115696,-0.346208,-0.260328,-0.240768,1,1
8,1,-0.777746,0.210055,-0.267611,-0.318690,-0.243765,1,1
26,1,-0.763110,0.075151,-0.385616,-0.261525,-0.366762,1,1
32,1,-0.883228,0.142570,-0.266313,-0.293780,-0.278431,1,1
18,1,-0.820012,0.184428,-0.305904,-0.250630,-0.211250,1,1
33,1,-0.893849,0.171504,-0.273993,-0.276789,-0.216239,1,1
20,1,-0.768566,0.165623,-0.316436,-0.317667,-0.217047,1,1
7,1,-0.781432,0.197689,-0.258234,-0.369933,-0.235818,1,1
17,1,-0.865645,0.201405,-0.279880,-0.352850,-0.258951,1,1
31,1,-0.845719,0.212190,-0.311155,-0.333484,-0.279943,1,1
5,1,-0.773212,0.172512,-0.280318,-0.314275,-0.237690,1,1
21,1,-0.807937,0.035313,-0.322964,-0.284875,-0.260030,0,1
14,1,-0.846550,0.162679,-0.292085,-0.183592,-0.226589,1,1
10,1,-0.749679,0.196595,-0.282323,-0.241955,-0.217027,1,1
4,1,-0.864838,0.117686,-0.354783,-0.199765,-0.207985,1,1
12,1,-0.799545,0.072713,-0.336812,-0.286163,-0.240681,1,1
16,1,-0.798407,0.236314,-0.239714,-0.283986,-0.176758,1,1
41,2,-0.859523,0.157117,-0.352460,-0.331156,-0.251163,1,1
76,2,-0.776311,0.123637,-0.243506,-0.318486,-0.335390,1,1
67,2,-0.777826,0.108296,-0.427039,-0.261917,-0.224347,1,1
58,2,-0.871046,0.215704,-0.266650,-0.274571,-0.178026,1,1
71,2,-0.782462,0.210530,-0.322190,-0.293895,-0.290704,1,1
78,2,-0.801603,0.145725,-0.356276,-0.372021,-0.213928,1,1
63,2,-0.811720,0.150966,-0.349452,-0.348881,-0.325489,1,1
46,2,-0.777286,0.204592,-0.290598,-0.226702,-0.255606,1,1
59,2,-0.809679,0.301318,-0.428236,-0.306134,-0.198268,1,0
43,2,-0.765087,0.290923,-0.324882,-0.174528,-0.256459,1,0
73,2,-0.898603,0.117568,-0.338934,-0.256529,-0.288533,1,1
61,2,-0.855594,0.227023,-0.359201,-0.337801,-0.164765,1,1
44,2,-0.754438,0.197000,-0.322080,-0.313339,-0.260367,1,1
42,2,-0.816531,0.207497,-0.340680,-0.281340,-0.157559,1,1
65,2,-0.880054,0.191713,-0.295722,-0.392188,-0.170864,1,1
70,2,-0.815477,0.153816,-0.369267,-0.326320,-0.422162,1,1
47,2,-0.785002,0.172206,-0.316812,-0.249662,-0.248484,1,1
48,2,-0.784852,0.161267,-0.218090,-0.227632,-0.258482,1,1
51,2,-0.851084,0.184467,-0.317116,-0.208888,-0.327072,1,1
55,2,-0.834396,0.117235,-0.258409,-0.290056,-0.284696,1,1
54,2,-0.816281,0.185774,-0.284778,-0.247866,-0.168555,1,1
75,2,-0.774819,0.038586,-0.394333,-0.219274,-0.261643,0,1
66,2,-0.761104,0.035378,-0.349508,-0.310615,-0.259060,0,1
69,2,-0.838987,0.192003,-0.316412,-0.346427,-0.257373,1,1
77,2,-0.734961,0.175026,-0.338378,-0.322088,-0.291450,1,1
79,2,-0.854954,0.166185,-0.356688,-0.302933,-0.218755,1,1
62,2,-0.826556,0.199124,-0.397969,-0.317751,-0.342383,1,1
64,2,-0.807600,0.121591,-0.287034,-0.386603,-0.238898,1,1
68,2,-0.814731,0.106307,-0.361350,-0.319076,-0.257512,1,1
45,2,-0.684913,0.186163,-0.262940,-0.259234,-0.137544,1,1
72,2,-0.795273,0.239385,-0.257241,-0.304155,-0.182911,1,1
49,2,-0.910603,0.223381,-0.340318,-0.291593,-0.290583,1,1
57,2,-0.739605,0.225021,-0.312262,-0.304349,-0.334484,1,1
74,2,-0.661624,0.206017,-0.394092,-0.303395,-0.311967,1,1
56,2,-0.889582,0.162804,-0.254101,-0.261961,-0.312809,1,1
50,2,-0.864766,0.270104,-0.208457,-0.249683,-0.281775,1,1
52,2,-0.740747,0.148582,-0.305520,-0.347666,-0.216270,1,1
40,2,-0.758800,0.204646,-0.356857,-0.302005,-0.336660,1,1
53,2,-0.774116,0.236621,-0.250945,-0.308167,-0.172284,1,1
60,2,-0.845569,0.126699,-0.375574,-0.365381,-0.232570,1,1
110,3,-0.855597,0.219721,-0.332424,-0.244980,-0.260125,1,1
92,3,-0.719336,0.203011,-0.328323,-0.289882,-0.289844,1,1
114,3,-0.818845,0.146341,-0.259489,-0.353949,-0.319616,1,1
115,3,-0.713233,0.178383,-0.425106,-0.329797,-0.277074,1,1
103,3,-0.756593,0.163061,-0.325513,-0.314676,-0.268210,1,1
100,3,-0.825189,0.160987,-0.288452,-0.318172,-0.249865,1,1
89,3,-0.769560,0.159160,-0.225879,-0.172938,-0.248356,1,1
113,3,-0.767536,0.231260,-0.233804,-0.266287,-0.326421,1,1
119,3,-0.730204,0.240806,-0.304286,-0.290072,-0.285020,1,1
85,3,-0.704463,0.219541,-0.420310,-0.270122,-0.151557,1,1
104,3,-0.776451,0.114331,-0.255189,-0.370456,-0.262565,1,1
107,3,-0.710827,0.118378,-0.311237,-0.310944,-0.279494,1,1
95,3,-0.745826,0.251426,-0.341162,-0.237376,-0.200864,1,1
87,3,-0.755039,0.224399,-0.255965,-0.318878,-0.259055,1,1
99,3,-0.714156,0.275686,-0.343524,-0.293168,-0.315265,1,0
96,3,-0.794742,0.132084,-0.249525,-0.252492,-0.282480,1,1
111,3,-0.847556,0.173547,-0.339373,-0.172777,-0.338426,1,1
101,3,-0.865440,0.126323,-0.410814,-0.325563,-0.230035,1,1
81,3,-0.780151,0.185976,-0.345630,-0.223320,-0.243218,1,1
93,3,-0.793522,0.213373,-0.400813,-0.331283,-0.174177,1,1
97,3,-0.792066,0.166136,-0.222726,-0.290001,-0.237733,1,1
112,3,-0.851251,0.152434,-0.280675,-0.256829,-0.298718,1,1
98,3,-0.764252,0.228978,-0.285824,-0.177031,-0.272901,1,1
83,3,-0.779594,0.224633,-0.279386,-0.357174,-0.136788,1,1
80,3,-0.725821,0.181176,-0.268606,-0.203092,-0.176942,1,1
117,3,-0.766817,0.120847,-0.348817,-0.340897,-0.195178,1,1
90,3,-0.832209,0.236655,-0.308289,-0.323209,-0.238441,1,1
94,3,-0.818739,0.245389,-0.275869,-0.244808,-0.306313,1,1
116,3,-0.797125,0.188555,-0.221743,-0.301895,-0.212670,1,1
102,3,-0.800873,0.113179,-0.348885,-0.341592,-0.360692,1,1
105,3,-0.694621,0.104025,-0.340267,-0.266662,-0.294724,1,1
82,3,-0.718244,0.292481,-0.285576,-0.301677,-0.284127,1,0
88,3,-0.845507,0.142759,-0.336071,-0.162394,-0.194047,1,1
84,3,-0.835689,0.178625,-0.158503,-0.311728,-0.315710,1,1
109,3,-0.841309,0.230888,-0.216779,-0.282051,-0.173584,1,1
106,3,-0.813210,0.221590,-0.301793,-0.302309,-0.224992,1,1
86,3,-0.846342,0.113165,-0.321449,-0.243455,-0.275174,1,1
108,3,-0.804584,0.137493,-0.309343,-0.273301,-0.251408,1,1
91,3,-0.799012,0.230711,-0.265101,-0.264004,-0.200637,1,1
118,3,-0.776942,0.204529,-0.344989,-0.255266,-0.279912,1,1
149,4,-0.723535,0.172598,-0.383754,-0.204065,-0.229963,1,1
143,4,-0.798287,0.168943,-0.268338,-0.271019,-0.302606,1,1
151,4,-0.783669,0.112740,-0.276708,-0.355973,-0.364561,1,1
148,4,-0.773351,0.114123,-0.320666,-0.235083,-0.207962,1,1
159,4,-0.750522,0.105014,-0.327409,-0.258352,-0.361398,1,1
136,4,-0.768747,0.176692,-0.304025,-0.216025,-0.268288,1,1
128,4,-0.787759,0.143131,-0.299097,-0.271994,-0.252417,1,1
146,4,-0.813124,0.096675,-0.298651,-0.263199,-0.229788,1,1
129,4,-0.760063,0.224477,-0.253634,-0.168813,-0.264029,1,1
124,4,-0.821957,0.202546,-0.240629,-0.236270,-0.190109,1,1
120,4,-0.784961,0.138177,-0.349068,-0.243137,-0.163817,1,1
122,4,-0.806252,0.216613,-0.264122,-0.188173,-0.219104,1,1
141,4,-0.795213,0.158135,-0.347335,-0.225096,-0.223437,1,1
147,4,-0.745887,0.127855,-0.284650,-0.270993,-0.323870,1,1
127,4,-0.691299,0.183707,-0.242356,-0.280421,-0.179557,1,1
156,4,-0.744777,0.091678,-0.252301,-0.343826,-0.328516,1,1
158,4,-0.776172,0.088925,-0.396781,-0.280140,-0.219535,1,1
150,4,-0.810618,0.166698,-0.225940,-0.292706,-0.291340,1,1
121,4,-0.770659,0.242963,-0.258140,-0.258462,-0.218217,1,1
125,4,-0.769985,0.206592,-0.327259,-0.216272,-0.259155,1,1
135,4,-0.748750,0.225894,-0.312337,-0.327183,-0.215410,1,1
140,4,-0.758470,0.179207,-0.334335,-0.307547,-0.297642,1,1
154,4,-0.769807,0.075495,-0.285440,-0.372814,-0.325052,1,1
133,4,-0.732017,0.134303,-0.275964,-0.299217,-0.309229,1,1
157,4,-0.787480,0.154136,-0.365661,-0.336199,-0.376116,1,1
132,4,-0.661512,0.206377,-0.254807,-0.291452,-0.211069,1,1
152,4,-0.721355,0.068388,-0.249137,-0.342853,-0.323156,1,1
155,4,-0.798346,0.142858,-0.375128,-0.323448,-0.371244,1,1
138,4,-0.775026,0.261677,-0.271524,-0.323240,-0.191951,1,1
142,4,-0.743535,0.141448,-0.283873,-0.386886,-0.236021,1,1
137,4,-0.870803,0.329609,-0.244561,-0.245553,-0.216962,1,0
153,4,-0.773254,0.098406,-0.325926,-0.275768,-0.211005,1,1
131,4,-0.831285,0.241888,-0.296321,-0.129776,-0.296210,1,1
123,4,-0.777069,0.191881,-0.276230,-0.163914,-0.222862,1,1
134,4,-0.902753,0.222189,-0.208772,-0.229432,-0.273891,1,1
130,4,-0.763048,0.200298,-0.277525,-0.201981,-0.240414,1,1
139,4,-0.782203,0.226991,-0.274606,-0.217716,-0.291289,1,1
144,4,-0.730545,0.106244,-0.323787,-0.284396,-0.209256,1,1
126,4,-0.845728,0.167790,-0.319229,-0.238385,-0.187861,1,1
145,4,-0.897189,0.129814,-0.439064,-0.258478,-0.252394,1,1
188,5,-0.742522,0.149698,-0.338183,-0.336424,-0.276014,1,1
163,5,-0.758646,0.195989,-0.217000,-0.209002,-0.294087,1,1
164,5,-0.689901,0.146845,-0.271853,-0.193252,-0.205081,1,1
167,5,-0.684008,0.245320,-0.255391,-0.142640,-0.164683,1,1
183,5,-0.823103,0.173653,-0.450915,-0.316959,-0.303581,1,1
191,5,-0.739152,0.213127,-0.180298,-0.322833,-0.219339,1,1
181,5,-0.727349,0.245455,-0.345567,-0.308205,-0.285457,1,1
161,5,-0.776946,0.126785,-0.283467,-0.369689,-0.204010,1,1
171,5,-0.736254,0.209708,-0.336796,-0.232295,-0.196957,1,1
182,5,-0.707385,0.129943,-0.244565,-0.324885,-0.369994,1,1
186,5,-0.825261,0.117774,-0.238460,-0.291463,-0.333237,1,1
180,5,-0.812470,0.162741,-0.285541,-0.338413,-0.240865,1,1
193,5,-0.805822,0.109331,-0.393368,-0.210102,-0.262136,1,1
174,5,-0.823982,0.217341,-0.221749,-0.175135,-0.231727,1,1
168,5,-0.777210,0.299827,-0.349934,-0.232524,-0.230077,1,0
175,5,-0.694569,0.218838,-0.237925,-0.292408,-0.196478,1,1
179,5,-0.784157,0.268143,-0.331773,-0.298592,-0.219508,1,1
192,5,-0.799857,0.083984,-0.353294,-0.265696,-0.287234,1,1
170,5,-0.777251,0.263305,-0.304209,-0.260529,-0.269230,1,1
176,5,-0.752066,0.275444,-0.282868,-0.185353,-0.141396,1,1
160,5,-0.726219,0.172492,-0.268990,-0.282670,-0.349743,1,1
172,5,-0.728195,0.226580,-0.310364,-0.251443,-0.190208,1,1
173,5,-0.723379,0.188298,-0.297472,-0.258798,-0.193755,1,1
162,5,-0.715970,0.152313,-0.295279,-0.259943,-0.248950,1,1
189,5,-0.682407,0.183102,-0.243256,-0.318282,-0.214953,1,1
177,5,-0.752344,0.272569,-0.346062,-0.257113,-0.268524,1,1
166,5,-0.744701,0.270718,-0.276105,-0.242490,-0.196286,1,1
190,5,-0.811366,0.148030,-0.271467,-0.336345,-0.205061,1,1
197,5,-0.727450,0.241862,-0.350248,-0.338540,-0.214058,1,1
184,5,-0.826313,0.170828,-0.263336,-0.300839,-0.317079,1,1
199,5,-0.721165,0.128423,-0.231035,-0.326317,-0.258295,1,1
165,5,-0.801439,0.179797,-0.296495,-0.266753,-0.218685,1,1
187,5,-0.799192,0.121027,-0.338308,-0.270433,-0.183340,1,1
178,5,-0.770630,0.313877,-0.268742,-0.228408,-0.220142,1,0
195,5,-0.762111,0.164557,-0.339625,-0.261569,-0.260751,1,1
194,5,-0.880036,0.193977,-0.382478,-0.274228,-0.267062,1,1
169,5,-0.719916,0.178255,-0.244806,-0.207276,-0.327436,1,1
196,5,-0.865086,0.149221,-0.295576,-0.300205,-0.332341,1,1
185,5,-0.744498,0.201725,-0.350080,-0.312295,-0.175810,1,1
198,5,-0.723930,0.099693,-0.314298,-0.267579,-0.225558,1,1
200,6,-0.793710,0.151924,-0.197777,-0.235972,-0.234276,1,1
214,6,-0.787301,0.228366,-0.261409,-0.229308,-0.239000,1,1
216,6,-0.752487,0.185742,-0.333633,-0.165850,-0.161801,1,1
239,6,-0.692289,0.224115,-0.323806,-0.272163,-0.263737,1,1
230,6,-0.787842,0.227591,-0.340846,-0.189127,-0.305943,1,1
202,6,-0.721230,0.122691,-0.210666,-0.302039,-0.164985,1,1
236,6,-0.878198,0.190197,-0.350729,-0.273647,-0.288140,1,1
217,6,-0.737292,0.250987,-0.236854,-0.165153,-0.197238,1,1
224,6,-0.861002,0.204761,-0.355165,-0.270497,-0.276165,1,1
213,6,-0.773670,0.217019,-0.298319,-0.262170,-0.141823,1,1
223,6,-0.785917,0.084503,-0.299021,-0.253469,-0.340324,1,1
226,6,-0.756438,0.130087,-0.233150,-0.275810,-0.274617,1,1
209,6,-0.737782,0.202275,-0.286798,-0.212407,-0.209470,1,1
212,6,-0.726648,0.201026,-0.306203,-0.260085,-0.274939,1,1
205,6,-0.759937,0.252901,-0.322984,-0.282131,-0.182763,1,1
233,6,-0.741001,0.244026,-0.268143,-0.278219,-0.262434,1,1
203,6,-0.770581,0.141854,-0.219019,-0.121604,-0.309183,1,1
204,6,-0.737157,0.259012,-0.283526,-0.356871,-0.174641,1,1
228,6,-0.837300,0.105485,-0.270375,-0.298697,-0.329609,1,1
221,6,-0.779856,0.150696,-0.299564,-0.294911,-0.340606,1,1
207,6,-0.727273,0.255258,-0.271609,-0.351701,-0.202624,1,1
222,6,-0.819086,0.118300,-0.280871,-0.251254,-0.267892,1,1
232,6,-0.687400,0.155613,-0.292043,-0.290605,-0.248590,1,1
219,6,-0.670968,0.235799,-0.299904,-0.240548,-0.198974,1,1
237,6,-0.837324,0.129047,-0.275914,-0.299266,-0.231212,1,1
227,6,-0.662813,0.087696,-0.312503,-0.177397,-0.319215,1,1
234,6,-0.753603,0.125610,-0.377382,-0.210826,-0.213802,1,1
238,6,-0.698874,0.221137,-0.331920,-0.235238,-0.254916,1,1
220,6,-0.719342,0.174018,-0.262566,-0.306929,-0.297378,1,1
215,6,-0.700678,0.199207,-0.306837,-0.349942,-0.141039,1,1
208,6,-0.811653,0.217106,-0.187077,-0.229730,-0.235159,1,1
211,6,-0.746507,0.176020,-0.235178,-0.363432,-0.209401,1,1
235,6,-0.782917,0.127967,-0.387351,-0.327282,-0.290378,1,1
231,6,-0.691738,0.192685,-0.325474,-0.219393,-0.243454,1,1
201,6,-0.714267,0.221779,-0.250400,-0.303164,-0.213571,1,1
229,6,-0.729285,0.192550,-0.341936,-0.218373,-0.302405,1,1
218,6,-0.776075,0.251876,-0.319197,-0.294688,-0.291801,1,1
206,6,-0.746771,0.263102,-0.317171,-0.242322,-0.285206,1,1
210,6,-0.736639,0.256739,-0.323341,-0.204810,-0.135471,1,1
225,6,-0.805842,0.170873,-0.221189,-0.277841,-0.210619,1,1
264,7,-0.699420,0.080745,-0.362693,-0.288745,-0.240284,1,1
254,7,-0.745487,0.255718,-0.251183,-0.243561,-0.310702,1,1
256,7,-0.708410,0.179114,-0.164273,-0.276305,-0.221421,1,1
244,7,-0.696257,0.141602,-0.299401,-0.203527,-0.199138,1,1
258,7,-0.701264,0.236836,-0.194389,-0.227427,-0.281944,1,1
243,7,-0.752341,0.218124,-0.245246,-0.158762,-0.210888,1,1
242,7,-0.633032,0.266162,-0.228077,-0.263995,-0.226346,1,0
245,7,-0.767305,0.226752,-0.292075,-0.212413,-0.291528,1,1
260,7,-0.708915,0.247536,-0.385117,-0.330499,-0.237907,1,1
261,7,-0.760794,0.238407,-0.296245,-0.188130,-0.344272,1,1
252,7,-0.750895,0.128006,-0.306317,-0.289889,-0.167515,1,1
257,7,-0.745009,0.217419,-0.277475,-0.242923,-0.279056,1,1
269,7,-0.765090,0.143415,-0.252222,-0.307347,-0.294301,1,1
246,7,-0.798122,0.147510,-0.259023,-0.236752,-0.255151,1,1
271,7,-0.738510,0.054983,-0.298345,-0.364574,-0.352048,0,1
247,7,-0.727198,0.159598,-0.249413,-0.195272,-0.193274,1,1
265,7,-0.700669,0.028630,-0.383672,-0.294408,-0.254710,0,1
248,7,-0.726611,0.249992,-0.330054,-0.226183,-0.236276,1,1
268,7,-0.774403,0.107499,-0.241673,-0.264072,-0.284251,1,1
250,7,-0.609089,0.200545,-0.316875,-0.169711,-0.185982,1,0
275,7,-0.751604,0.045358,-0.387548,-0.355166,-0.211625,0,1
270,7,-0.802877,0.152602,-0.435782,-0.278836,-0.298997,1,1
263,7,-0.669529,0.195312,-0.392644,-0.255717,-0.219198,1,1
277,7,-0.687885,0.170767,-0.281775,-0.201409,-0.213203,1,1
267,7,-0.782510,0.173918,-0.256261,-0.287832,-0.347615,1,1
251,7,-0.754259,0.213351,-0.295525,-0.135615,-0.213525,1,1
278,7,-0.742744,0.183055,-0.327316,-0.322544,-0.283137,1,1
262,7,-0.622431,0.221213,-0.279084,-0.321713,-0.256790,1,1
276,7,-0.814927,0.185414,-0.324115,-0.200647,-0.240290,1,1
274,7,-0.817817,0.106935,-0.321735,-0.253190,-0.246849,1,1
259,7,-0.653943,0.181307,-0.241673,-0.106933,-0.117188,1,1
266,7,-0.794785,0.090595,-0.236471,-0.250511,-0.283320,1,1
255,7,-0.710662,0.186207,-0.170670,-0.291042,-0.256240,1,1
279,7,-0.721396,0.209704,-0.218874,-0.190486,-0.238149,1,1
241,7,-0.664138,0.202625,-0.217871,-0.213495,-0.171473,1,1
249,7,-0.748555,0.270958,-0.328869,-0.273680,-0.145362,1,1
273,7,-0.769106,0.175966,-0.340465,-0.258346,-0.325316,1,1
240,7,-0.667633,0.195880,-0.236815,-0.258385,-0.103895,1,1
253,7,-0.745747,0.197018,-0.315291,-0.284899,-0.174074,1,1
272,7,-0.782671,0.177562,-0.304230,-0.207134,-0.300218,1,1
295,8,-0.693338,0.350202,-0.233580,-0.205295,-0.206997,1,0
311,8,-0.850334,0.118854,-0.304375,-0.248782,-0.210625,0,1
303,8,-0.790122,0.125564,-0.305482,-0.320572,-0.188665,1,1
283,8,-0.686106,0.174884,-0.289992,-0.202194,-0.269188,1,1
282,8,-0.691572,0.223497,-0.271732,-0.259453,-0.178397,1,1
284,8,-0.635031,0.140471,-0.282291,-0.350012,-0.212049,1,1
318,8,-0.675192,0.071683,-0.252191,-0.293671,-0.317028,1,1
298,8,-0.640329,0.261193,-0.239228,-0.183385,-0.258314,1,0
306,8,-0.761113,0.103403,-0.317574,-0.158362,-0.262784,1,1
301,8,-0.779912,0.164813,-0.374442,-0.238687,-0.221637,1,1
290,8,-0.732354,0.206707,-0.262627,-0.230126,-0.242781,1,1
297,8,-0.825266,0.202237,-0.286228,-0.211373,-0.272842,1,1
299,8,-0.613853,0.211989,-0.158714,-0.222454,-0.318716,1,0
314,8,-0.752375,0.175332,-0.353273,-0.319858,-0.174312,1,1
316,8,-0.788950,0.261082,-0.270632,-0.241553,-0.267967,1,1
310,8,-0.777925,0.132884,-0.266438,-0.282372,-0.207288,1,1
309,8,-0.798860,0.219517,-0.297770,-0.271101,-0.290729,1,1
294,8,-0.706482,0.193196,-0.230188,-0.236683,-0.169359,1,1
285,8,-0.659592,0.193950,-0.210768,-0.228990,-0.079509,1,1
319,8,-0.816059,0.121537,-0.355031,-0.345414,-0.323300,1,1
291,8,-0.697794,0.280121,-0.247192,-0.226895,-0.153553,1,1
302,8,-0.620210,0.100130,-0.279236,-0.195362,-0.238612,1,1
300,8,-0.631174,0.202308,-0.306839,-0.327961,-0.344444,1,1
305,8,-0.651025,0.089491,-0.296114,-0.247295,-0.240648,1,1
317,8,-0.720600,0.198562,-0.220547,-0.155370,-0.237461,1,1
287,8,-0.705994,0.185808,-0.213555,-0.149665,-0.137041,1,1
293,8,-0.636553,0.161322,-0.224310,-0.207663,-0.112395,1,1
308,8,-0.787990,0.106393,-0.253023,-0.260440,-0.333023,1,1
281,8,-0.727382,0.274724,-0.224331,-0.235662,-0.209565,1,1
