@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}
@attribute class_2 {0,1}

@data
9,1,-0.564808,0.015885,-0.070880,0.136574,1,1,0
37,1,-0.595864,0.012087,-0.034200,0.042857,1,1,0
19,1,-0.726375,-0.053894,-0.092949,0.034720,1,1,0
8,1,-0.645158,0.017971,-0.101103,-0.002154,1,1,0
38,1,-0.653246,-0.035503,-0.014105,0.153203,1,1,0
23,1,-0.625357,-0.061901,-0.108199,0.025404,1,1,0
18,1,-0.628881,0.017554,-0.080391,0.056599,1,1,0
12,1,-0.574163,-0.076906,-0.064990,0.047039,1,1,0
15,1,-0.624277,-0.050815,0.011930,0.052692,1,1,0
14,1,-0.518159,0.001510,-0.034818,0.003733,1,1,0
32,1,-0.558307,-0.060590,0.018207,0.065585,1,1,0
39,1,-0.644902,-0.039885,-0.077797,0.088565,1,1,0
24,1,-0.606998,-0.058993,-0.153628,0.190097,1,1,0
7,1,-0.555942,0.046208,-0.079071,0.012959,1,1,0
3,1,-0.627467,0.002657,-0.093617,0.080782,1,1,0
26,1,-0.629579,0.036260,-0.055613,0.099145,1,1,0
25,1,-0.619855,0.011795,-0.193835,0.032872,1,1,0
27,1,-0.641481,-0.105393,-0.083911,0.058200,1,1,0
35,1,-0.548225,-0.021815,-0.151273,0.155730,1,1,0
0,1,-0.569149,0.036384,-0.028085,0.065609,1,1,0
11,1,-0.581432,-0.047521,-0.002363,0.123922,1,1,0
6,1,-0.577319,-0.011328,-0.164613,0.084408,1,1,0
5,1,-0.545457,-0.055999,0.036333,0.019761,1,1,0
4,1,-0.546457,-0.066680,-0.013347,0.130360,1,1,0
1,1,-0.604407,0.031668,-0.015919,0.055710,1,1,0
13,1,-0.523497,0.050784,-0.068385,0.087214,1,1,0
20,1,-0.550405,-0.040036,-0.035432,0.051886,1,1,0
16,1,-0.540430,0.062641,-0.048166,0.060251,1,1,0
10,1,-0.547909,0.008900,-0.073284,-0.010024,1,1,0
31,1,-0.612412,0.001076,-0.090997,0.078650,1,1,0
29,1,-0.597129,-0.048634,-0.160945,0.143542,1,1,0
17,1,-0.574589,0.022204,0.022639,0.058320,1,1,0
36,1,-0.579481,-0.086369,-0.080091,0.019771,1,1,0
30,1,-0.665764,-0.159910,-0.113578,0.123115,0,1,0
28,1,-0.617785,-0.030080,-0.104171,0.129498,1,1,0
21,1,-0.586329,-0.065908,-0.125719,0.060331,1,1,0
2,1,-0.613871,0.039455,-0.016558,0.009433,1,1,0
22,1,-0.596151,-0.025345,-0.080517,0.136373,1,1,0
33,1,-0.555528,-0.035724,-0.158371,0.096943,1,1,0
34,1,-0.526042,-0.009484,-0.081960,0.075437,1,1,0
42,2,-0.503916,0.107294,-0.077043,-0.058166,1,0,0
54,2,-0.481155,-0.061916,-0.018208,0.054880,1,1,0
50,2,-0.559494,0.091853,-0.015940,0.130883,1,1,0
41,2,-0.638307,0.007880,-0.027762,0.067702,1,1,0
53,2,-0.594439,0.057098,0.003756,0.019439,1,1,0
76,2,-0.603210,-0.090971,-0.093085,0.146759,1,1,0
57,2,-0.611431,0.044784,-0.045969,0.105077,1,1,0
68,2,-0.537519,-0.092322,-0.061231,0.125095,1,1,0
66,2,-0.631875,0.029486,-0.072611,0.116229,1,1,0
44,2,-0.522585,-0.023287,-0.030942,0.063273,1,1,0
40,2,-0.522288,0.072173,0.018441,0.042900,1,1,0
78,2,-0.541598,-0.075047,-0.054522,0.152994,1,1,0
62,2,-0.576020,-0.017689,-0.148748,0.113173,1,1,0
65,2,-0.577032,-0.040650,-0.034507,0.047489,1,1,0
70,2,-0.577044,-0.068816,-0.049386,0.053931,1,1,0
74,2,-0.642164,-0.007521,-0.099064,0.084171,1,1,0
49,2,-0.576916,-0.055949,-0.052330,0.083659,1,1,0
51,2,-0.541564,0.028001,-0.022203,0.104508,1,1,0
75,2,-0.578543,-0.023589,-0.064628,0.041874,1,1,0
67,2,-0.506886,-0.056750,-0.029026,0.090786,1,1,0
47,2,-0.608783,0.011058,-0.062577,-0.078038,1,1,0
60,2,-0.544348,-0.044218,-0.091762,0.030957,1,1,0
73,2,-0.609964,0.018709,-0.096448,0.006962,1,1,0
43,2,-0.580553,0.052265,-0.059595,0.074369,1,1,0
48,2,-0.690435,-0.070691,-0.037412,0.028967,1,1,0
77,2,-0.499844,-0.052993,-0.031650,0.074177,1,1,0
46,2,-0.558579,0.009075,-0.089912,0.024415,1,1,0
69,2,-0.547027,0.017232,-0.021134,0.113457,1,1,0
71,2,-0.639304,-0.011851,-0.102495,0.111809,1,1,0
45,2,-0.666771,0.014841,-0.059305,0.086083,1,1,0
72,2,-0.640955,-0.109309,-0.123126,0.116764,1,1,0
79,2,-0.632394,-0.007826,-0.105838,0.155179,1,1,0
59,2,-0.612976,-0.015310,-0.014695,0.085216,1,1,0
63,2,-0.532240,-0.003812,-0.056192,0.054663,1,1,0
58,2,-0.598125,0.078494,-0.100797,0.109927,1,1,0
52,2,-0.558268,0.031292,-0.058803,0.083189,1,1,0
61,2,-0.545457,-0.069867,-0.058849,0.065406,1,1,0
64,2,-0.628672,0.008856,-0.117141,0.102907,1,1,0
55,2,-0.628705,-0.011527,-0.031779,0.138866,1,1,0
56,2,-0.632755,-0.055322,0.005309,0.093795,1,1,0
98,3,-0.538943,0.016420,-0.017059,0.027226,1,1,0
93,3,-0.570494,0.004684,-0.032640,0.072171,1,1,0
90,3,-0.580633,0.059320,-0.144311,0.014066,1,1,0
91,3,-0.636841,0.127856,0.037473,0.073256,1,0,0
106,3,-0.665394,-0.016483,-0.079889,0.000749,1,1,0
82,3,-0.578017,-0.029750,-0.064553,0.095331,1,1,0
114,3,-0.666219,-0.044352,-0.131957,0.105378,1,1,0
80,3,-0.532556,0.013609,-0.055537,0.062030,1,1,0
115,3,-0.633332,-0.052758,-0.100253,0.182811,1,1,0
103,3,-0.593227,-0.128546,-0.077071,0.129540,1,1,0
116,3,-0.666304,-0.020479,-0.086068,0.158043,1,1,0
102,3,-0.529502,0.008918,-0.125411,0.178917,1,1,0
101,3,-0.625017,-0.008549,-0.086905,0.085369,1,1,0
104,3,-0.693284,-0.137772,0.041263,0.114666,0,1,0
94,3,-0.571588,0.046098,-0.075994,0.039963,1,1,0
84,3,-0.602887,-0.020758,-0.152672,0.109209,1,1,0
83,3,-0.577302,0.051638,0.061651,0.135931,1,1,0
88,3,-0.676419,0.008423,0.002797,0.114773,1,1,0
107,3,-0.678192,-0.052040,-0.170248,0.143248,1,1,0
117,3,-0.589778,0.025242,-0.130132,0.095372,1,1,0
118,3,-0.578078,-0.054768,-0.123551,0.168514,1,1,0
100,3,-0.565254,-0.081529,-0.101802,0.182062,1,1,0
85,3,-0.593229,0.064341,-0.121886,0.077978,1,1,0
111,3,-0.609541,-0.140092,-0.111707,0.075332,1,1,0
86,3,-0.625138,0.009072,-0.057127,0.044879,1,1,0
112,3,-0.639475,0.019087,-0.162351,0.129895,1,1,0
81,3,-0.586441,0.136828,-0.004312,0.072125,1,0,0
95,3,-0.615085,0.017481,0.043157,0.084337,1,1,0
92,3,-0.641438,-0.074343,-0.024309,0.018301,1,1,0
119,3,-0.697657,-0.091325,-0.093133,0.034848,1,1,0
96,3,-0.525069,0.039018,-0.083604,0.132544,1,1,0
108,3,-0.629129,-0.052620,-0.105015,0.116205,1,1,0
109,3,-0.559629,-0.060065,-0.004530,0.127016,1,1,0
113,3,-0.602945,0.017360,-0.113102,-0.010629,1,1,0
87,3,-0.570771,-0.035652,-0.055257,0.027401,1,1,0
110,3,-0.620096,-0.002975,-0.133028,0.025553,1,1,0
89,3,-0.622303,0.031113,-0.055067,0.081606,1,1,0
105,3,-0.577548,-0.031958,-0.099576,0.110404,1,1,0
99,3,-0.612480,0.072737,-0.066340,0.018562,1,1,0
97,3,-0.579087,0.009314,-0.098721,0.050908,1,1,0
122,4,-0.564992,0.049016,-0.071518,0.080426,1,1,0
144,4,-0.631488,-0.092768,-0.074552,0.142589,1,1,0
149,4,-0.563412,0.046435,-0.075102,0.073860,1,1,0
128,4,-0.619233,0.014050,-0.008935,0.103376,1,1,0
155,4,-0.655035,0.088720,-0.174437,0.126819,1,1,0
133,4,-0.647646,0.066111,-0.016158,0.083268,1,1,0
156,4,-0.663548,-0.091357,-0.028143,0.105971,1,1,0
146,4,-0.581114,-0.020779,-0.043319,0.078829,1,1,0
121,4,-0.524317,0.006187,-0.046767,0.047610,1,1,0
143,4,-0.590197,-0.002471,-0.103192,0.050271,1,1,0
139,4,-0.562624,0.025686,-0.013831,0.090566,1,1,0
138,4,-0.604198,-0.000822,0.039831,0.075631,1,1,0
148,4,-0.596721,-0.007180,-0.134658,0.114370,1,1,0
124,4,-0.608968,0.073400,-0.017846,0.047778,1,1,0
154,4,-0.612970,-0.055645,-0.128816,0.109364,1,1,0
157,4,-0.679837,-0.101207,-0.102671,0.127979,1,1,0
127,4,-0.660533,-0.012052,-0.067245,0.025353,1,1,0
120,4,-0.510381,0.023444,-0.097312,0.085212,1,1,0
129,4,-0.597110,-0.071540,0.032186,0.006833,1,1,0
150,4,-0.618462,-0.015521,-0.045805,0.073360,1,1,0
141,4,-0.607360,-0.133724,-0.063806,0.054000,1,1,0
147,4,-0.589728,0.001558,-0.077241,0.048887,1,1,0
158,4,-0.613791,-0.034997,-0.152027,0.160770,1,1,0
136,4,-0.556674,-0.031105,-0.051052,0.039518,1,1,0
130,4,-0.657802,0.022051,0.025260,0.112603,1,1,0
151,4,-0.599773,-0.084912,-0.109518,0.146548,1,1,0
153,4,-0.733095,-0.011916,-0.177137,0.020765,1,1,0
135,4,-0.647705,-0.001409,-0.070992,0.077580,1,1,0
152,4,-0.665747,-0.098982,-0.152847,0.153532,1,1,0
137,4,-0.635933,0.017666,-0.025193,0.043163,1,1,0
132,4,-0.545456,0.003871,-0.061939,0.104995,1,1,0
159,4,-0.623549,-0.012059,-0.151592,-0.009720,1,1,0
142,4,-0.676827,0.016539,-0.080934,0.006252,1,1,0
126,4,-0.579078,-0.023822,-0.033138,0.145506,1,1,0
140,4,-0.590598,-0.126845,-0.113892,0.100862,1,1,0
123,4,-0.578821,-0.047093,-0.009608,0.107733,1,1,0
131,4,-0.659134,-0.014287,-0.049248,0.092657,1,1,0
145,4,-0.578787,-0.079664,-0.100551,0.038514,1,1,0
134,4,-0.535122,-0.061944,-0.086391,0.017083,1,1,0
125,4,-0.642724,0.007814,-0.137133,0.018466,1,1,0
183,5,-0.613522,0.031897,-0.050456,0.059303,1,1,0
169,5,-0.603874,-0.014514,-0.002719,0.138216,1,1,0
199,5,-0.673799,0.006606,-0.109424,0.053620,1,1,0
168,5,-0.560933,-0.038422,-0.019472,0.050624,1,1,0
195,5,-0.563852,0.027797,-0.083532,0.051773,1,1,0
189,5,-0.617660,-0.025675,-0.187326,0.095478,1,1,0
182,5,-0.712391,-0.086507,-0.139342,0.187624,1,1,0
170,5,-0.606271,0.029071,-0.065428,-0.001146,1,1,0
177,5,-0.622346,-0.018124,-0.023149,0.049507,1,1,0
188,5,-0.649567,-0.046071,-0.201953,0.026359,1,1,0
172,5,-0.620709,0.077144,0.039091,0.023984,1,1,0
175,5,-0.567831,-0.006900,-0.051707,-0.004211,1,1,0
161,5,-0.626207,-0.122236,0.081695,0.050542,1,1,0
196,5,-0.576839,0.032506,-0.037524,0.035100,1,1,0
162,5,-0.527691,-0.003559,-0.140806,0.147962,1,1,0
180,5,-0.514202,0.059868,-0.129702,0.142213,1,1,0
179,5,-0.656608,0.032640,0.008422,0.027740,1,1,0
197,5,-0.657868,-0.019913,-0.037190,0.086377,1,1,0
165,5,-0.605779,0.006451,-0.096613,0.026132,1,1,0
184,5,-0.546300,0.021670,-0.174494,0.136494,1,1,0
166,5,-0.618076,0.018880,-0.048313,0.056537,1,1,0
187,5,-0.633649,0.005883,-0.102613,0.074369,1,1,0
192,5,-0.547088,-0.043532,-0.181505,0.053835,1,1,0
186,5,-0.678237,-0.070666,-0.139170,0.041094,1,1,0
190,5,-0.630320,-0.017881,-0.080116,0.053157,1,1,0
173,5,-0.553678,-0.026011,-0.120131,0.101323,1,1,0
163,5,-0.624428,0.060887,-0.110617,0.048875,1,1,0
164,5,-0.681611,-0.067067,-0.015728,0.173391,1,1,0
178,5,-0.604284,0.079748,0.029105,0.062893,1,1,0
181,5,-0.611453,-0.069590,-0.076700,0.057601,1,1,0
160,5,-0.663292,-0.067255,-0.021734,0.017760,1,1,0
171,5,-0.518649,-0.018225,-0.042790,-0.052095,1,1,0
167,5,-0.601470,0.014806,-0.029090,0.133228,1,1,0
191,5,-0.577662,0.003485,-0.086546,0.071004,1,1,0
194,5,-0.546372,-0.156890,-0.150350,0.155549,0,1,0
174,5,-0.604270,0.001236,0.012133,0.074714,1,1,0
198,5,-0.624644,-0.045979,-0.113261,0.044087,1,1,0
176,5,-0.611152,0.174028,-0.062415,0.085489,1,0,0
185,5,-0.584355,-0.046437,-0.118568,0.030890,1,1,0
193,5,-0.639712,0.016299,-0.103514,0.125015,1,1,0
202,6,-0.645460,-0.018442,-0.020674,0.069856,1,1,0
229,6,-0.615462,-0.051790,-0.104741,0.084884,1,1,0
206,6,-0.634866,-0.000608,0.005500,0.089141,1,1,0
232,6,-0.648563,-0.072404,-0.063680,0.155308,1,1,0
228,6,-0.653541,-0.033071,-0.059443,0.123520,1,1,0
239,6,-0.562413,0.000423,-0.038444,0.081175,1,1,0
235,6,-0.602527,0.016503,-0.083051,0.148704,1,1,0
208,6,-0.584410,-0.016346,-0.006173,0.091842,1,1,0
203,6,-0.631922,-0.079533,-0.070954,0.042544,1,1,0
207,6,-0.524851,0.006469,-0.103341,0.011422,1,1,0
213,6,-0.586131,0.033639,0.011115,0.108893,1,1,0
200,6,-0.580364,0.056068,-0.063598,0.027197,1,1,0
216,6,-0.613120,0.096819,-0.010486,0.064699,1,1,0
222,6,-0.592183,-0.095734,-0.085823,0.166483,1,1,0
231,6,-0.542094,0.028954,-0.124061,0.030357,1,1,0
234,6,-0.626579,-0.127143,-0.116006,0.088613,1,1,0
220,6,-0.530670,0.063939,-0.021156,-0.009252,1,1,0
233,6,-0.630558,-0.058402,-0.086455,0.081570,1,1,0
204,6,-0.679479,-0.052915,-0.025262,0.062811,1,1,0
237,6,-0.629752,-0.016583,-0.090989,0.095268,1,1,0
225,6,-0.646829,-0.150768,-0.088409,0.111036,0,1,0
223,6,-0.661464,-0.058726,-0.055035,0.104605,1,1,0
219,6,-0.539647,-0.001736,-0.063310,0.039231,1,1,0
218,6,-0.558660,0.034543,-0.040202,0.071729,1,1,0
214,6,-0.636177,-0.096449,-0.085200,0.158752,1,1,0
201,6,-0.580893,0.055215,-0.020812,0.089985,1,1,0
224,6,-0.667680,-0.040600,-0.065100,-0.029760,1,1,0
236,6,-0.548598,-0.118844,-0.076525,0.000186,1,1,0
212,6,-0.574185,0.052859,-0.003136,0.137817,1,1,0
221,6,-0.586120,0.006548,-0.053013,0.005839,1,1,0
215,6,-0.564702,-0.062417,0.042480,0.138266,1,1,0
