global_id,timestamp,f1,f2,f3,f4,f5,class_0,class_1,class_2
25,1,-0.781392,0.389849,-0.359903,-0.143083,-0.232095,1,1,0
26,1,-0.714253,0.329910,-0.262903,-0.241314,-0.120496,1,1,0
29,1,-0.811540,0.423847,-0.153652,-0.162228,-0.224657,1,1,0
33,1,-0.830494,0.350039,-0.238571,-0.266025,-0.110071,1,1,0
39,1,-0.757686,0.421626,-0.245930,-0.196705,-0.213083,1,1,0
36,1,-0.759489,0.370974,-0.214312,-0.251639,-0.178877,1,1,0
24,1,-0.828182,0.379274,-0.221095,-0.155364,-0.108971,1,1,0
3,1,-0.709542,0.410482,-0.278421,-0.178136,-0.158400,1,1,0
22,1,-0.754519,0.330453,-0.127957,-0.206296,-0.122985,1,1,0
4,1,-0.759414,0.428223,-0.205089,-0.244678,-0.226336,1,1,0
27,1,-0.732414,0.352473,-0.160876,-0.171881,-0.223250,1,1,0
17,1,-0.818116,0.383645,-0.205451,-0.085878,-0.211649,1,1,0
21,1,-0.856680,0.291767,-0.223000,-0.217070,-0.153766,1,1,0
1,1,-0.742944,0.398717,-0.249519,-0.125731,-0.050586,1,1,0
12,1,-0.806359,0.390633,-0.177046,-0.224295,-0.085637,1,1,0
2,1,-0.781063,0.321365,-0.128727,-0.210590,-0.167609,1,1,0
35,1,-0.789328,0.336682,-0.228381,-0.260640,-0.186957,1,1,0
28,1,-0.814291,0.460071,-0.142187,-0.367564,-0.266954,1,1,0
14,1,-0.807487,0.374609,-0.203900,-0.177721,-0.012355,1,1,0
7,1,-0.843789,0.455015,-0.197315,-0.143512,-0.174058,1,1,0
19,1,-0.893747,0.408950,-0.199875,-0.116893,-0.131941,1,1,0
9,1,-0.830580,0.448148,-0.207057,-0.240333,-0.151564,1,1,0
23,1,-0.718017,0.360979,-0.200888,-0.262941,-0.219279,1,1,0
37,1,-0.795667,0.383194,-0.279424,-0.133114,-0.119036,1,1,0
18,1,-0.827063,0.338338,-0.218179,-0.111816,-0.100278,1,1,0
5,1,-0.813918,0.448025,-0.292213,-0.117782,-0.159607,1,1,0
32,1,-0.782225,0.268128,-0.298564,-0.203137,-0.234746,1,1,0
20,1,-0.820520,0.346008,-0.212706,-0.202277,-0.242010,1,1,0
15,1,-0.868749,0.293430,-0.246002,-0.091908,-0.205014,1,1,0
13,1,-0.798035,0.415179,-0.186784,-0.172910,-0.148221,1,1,0
11,1,-0.894881,0.298964,-0.156098,-0.166497,-0.105837,1,1,0
16,1,-0.819411,0.407304,-0.171024,-0.139498,-0.175881,1,1,0
38,1,-0.784059,0.274005,-0.197479,-0.211312,-0.138967,1,1,0
0,1,-0.776738,0.436048,-0.200088,-0.167066,-0.108321,1,1,0
10,1,-0.855886,0.476841,-0.182283,-0.221227,-0.165214,1,0,0
30,1,-0.867440,0.375815,-0.274328,-0.196245,-0.196551,1,1,0
31,1,-0.884430,0.434298,-0.278472,-0.326688,-0.217003,1,1,0
34,1,-0.786745,0.316895,-0.244518,-0.172444,-0.222823,1,1,0
8,1,-0.715239,0.426906,-0.153655,-0.154109,-0.192498,1,1,0
6,1,-0.791588,0.405149,-0.299583,-0.200077,-0.232874,1,1,0
42,2,-0.784071,0.338348,-0.150753,-0.239821,-0.160214,1,1,0
48,2,-0.844175,0.349979,-0.168057,-0.193982,-0.164337,1,1,0
74,2,-0.812634,0.376329,-0.228879,-0.279889,-0.195435,1,1,0
76,2,-0.762389,0.326132,-0.279663,-0.155397,-0.175127,1,1,0
43,2,-0.744067,0.400702,-0.187997,-0.168695,-0.177007,1,1,0
54,2,-0.756373,0.410285,-0.166965,-0.210666,-0.151614,1,1,0
71,2,-0.792765,0.303591,-0.237930,-0.163264,-0.250190,1,1,0
58,2,-0.862124,0.345396,-0.177664,-0.000619,-0.243550,1,1,0
50,2,-0.872153,0.452769,-0.264579,-0.123889,-0.125180,1,1,0
66,2,-0.833184,0.362585,-0.296171,-0.163401,-0.181535,1,1,0
45,2,-0.747467,0.432699,-0.236733,-0.121846,-0.066234,1,1,0
77,2,-0.883882,0.381582,-0.268942,-0.214199,-0.213570,1,1,0
41,2,-0.837136,0.391055,-0.201967,-0.161994,-0.112268,1,1,0
57,2,-0.796656,0.431162,-0.188272,-0.251933,-0.104592,1,1,0
56,2,-0.801062,0.435583,-0.210030,-0.168981,-0.191932,1,1,0
49,2,-0.789289,0.430455,-0.198471,-0.252544,-0.120806,1,1,0
40,2,-0.837942,0.347389,-0.195156,-0.193115,-0.170232,1,1,0
73,2,-0.795509,0.234739,-0.269528,-0.197198,-0.171748,0,1,0
47,2,-0.755789,0.386469,-0.203548,-0.234937,-0.176551,1,1,0
75,2,-0.810768,0.395027,-0.265099,-0.254803,-0.178843,1,1,0
78,2,-0.856424,0.333929,-0.273099,-0.243191,-0.096851,1,1,0
60,2,-0.784953,0.405971,-0.388913,-0.200310,-0.225387,1,1,0
72,2,-0.861103,0.258125,-0.143188,-0.280131,-0.208590,0,1,0
79,2,-0.902709,0.455042,-0.211434,-0.242318,-0.246875,1,1,0
55,2,-0.799392,0.388777,-0.219452,-0.184849,-0.191570,1,1,0
63,2,-0.903884,0.283596,-0.373386,-0.193113,-0.262332,0,1,0
46,2,-0.846471,0.322943,-0.187733,-0.094236,-0.188961,1,1,0
59,2,-0.854981,0.507623,-0.155912,-0.167715,-0.152232,1,0,0
52,2,-0.872464,0.378403,-0.233474,-0.112316,-0.077763,1,1,0
69,2,-0.778352,0.319525,-0.295002,-0.303201,-0.184463,1,1,0
62,2,-0.837774,0.359916,-0.206347,-0.125713,-0.255726,1,1,0
64,2,-0.841166,0.390189,-0.247199,-0.296651,-0.281790,1,1,0
67,2,-0.856652,0.238117,-0.272297,-0.295832,-0.185962,0,1,0
61,2,-0.760763,0.398259,-0.238481,-0.194096,-0.099405,1,1,0
65,2,-0.827103,0.296266,-0.238533,-0.309886,-0.181104,1,1,0
70,2,-0.811998,0.415265,-0.294461,-0.187023,-0.153607,1,1,0
53,2,-0.779546,0.387889,-0.193056,-0.138470,-0.177023,1,1,0
44,2,-0.817709,0.304703,-0.126897,-0.146028,-0.132738,1,1,0
51,2,-0.787410,0.416995,-0.257424,-0.248413,-0.033537,1,1,0
68,2,-0.794732,0.375994,-0.195764,-0.187713,-0.234910,1,1,0
96,3,-0.788671,0.357984,-0.150985,-0.134293,-0.186506,1,1,0
