global_id,timestamp,f1,f2,f3,f4,class_0,class_1
7,1,-0.890908,0.009878,-0.204988,0.159341,1,1
10,1,-0.773311,-0.039413,-0.201852,0.093489,1,1
23,1,-0.769026,-0.049528,0.030686,-0.107156,1,1
27,1,-0.898982,-0.086934,-0.085823,-0.018482,1,1
9,1,-0.816235,-0.024596,-0.208062,0.079372,1,1
6,1,-0.802134,-0.011099,-0.141258,0.145938,1,1
2,1,-0.793386,-0.033962,-0.128826,0.082718,1,1
25,1,-0.810353,-0.027353,0.037082,0.061971,1,1
3,1,-0.897825,-0.015248,-0.079991,0.176335,1,1
20,1,-0.798698,-0.065440,-0.025109,-0.068668,1,1
8,1,-0.855109,-0.030799,-0.188466,0.210648,1,1
36,1,-0.706540,-0.031051,-0.122381,-0.061982,1,1
0,1,-0.811983,0.105957,-0.143460,0.137053,1,0
18,1,-0.810022,-0.002717,-0.201040,0.079974,1,1
30,1,-0.831573,-0.109991,0.035257,-0.059318,1,1
22,1,-0.793081,-0.060003,-0.032443,-0.009862,1,1
13,1,-0.835178,-0.003806,-0.272025,0.032259,1,1
14,1,-0.851770,-0.012627,0.006538,0.075262,1,1
28,1,-0.762900,-0.110290,-0.037646,-0.083024,1,1
26,1,-0.778226,0.048913,-0.052332,-0.022313,1,1
1,1,-0.842565,0.071041,-0.220266,0.123526,1,1
4,1,-0.803656,0.003253,-0.269389,0.082375,1,1
31,1,-0.731611,-0.116438,0.006981,-0.108031,1,1
21,1,-0.825343,0.052298,0.039800,-0.052994,1,1
33,1,-0.732742,-0.070920,-0.036700,0.015364,1,1
29,1,-0.877396,-0.054215,-0.074632,-0.031638,1,1
32,1,-0.736800,-0.102480,-0.050703,-0.029203,1,1
35,1,-0.787180,0.064576,-0.017357,0.058436,1,1
17,1,-0.848477,0.101704,-0.145892,0.127318,1,0
24,1,-0.820123,-0.084307,-0.087813,0.027822,1,1
38,1,-0.816734,-0.073931,-0.023254,-0.088272,1,1
16,1,-0.727185,-0.089824,-0.169348,0.192327,1,1
34,1,-0.864500,-0.076074,-0.056860,0.036004,1,1
5,1,-0.811990,0.035493,-0.262391,0.162634,1,1
15,1,-0.836320,-0.018206,-0.240247,0.062663,1,1
37,1,-0.834725,-0.035540,0.021490,-0.065691,1,1
19,1,-0.770149,0.064564,-0.189285,0.076460,1,1
39,1,-0.792577,-0.068337,-0.119310,-0.129423,1,1
11,1,-0.734582,0.044158,-0.253046,0.104682,1,1
12,1,-0.737840,0.060350,-0.262013,0.056190,1,1
42,2,-0.752561,0.052541,-0.206386,0.108894,1,1
47,2,-0.810404,-0.000058,-0.237519,0.028058,1,1
57,2,-0.827253,-0.037123,-0.187313,0.111941,1,1
70,2,-0.827789,-0.059204,-0.010153,-0.036051,1,1
76,2,-0.773636,-0.119917,-0.063379,0.053788,1,1
78,2,-0.794455,-0.074383,-0.074923,-0.026677,1,1
71,2,-0.815806,-0.031046,-0.117783,-0.030950,1,1
73,2,-0.820961,0.061266,-0.006467,-0.053155,1,1
62,2,-0.818452,-0.057577,-0.018854,0.014171,1,1
45,2,-0.806383,0.016578,-0.248337,0.112785,1,1
41,2,-0.827461,-0.012709,-0.117320,0.148205,1,1
56,2,-0.787603,0.054284,-0.136319,0.141644,1,1
61,2,-0.880670,-0.084900,-0.060431,-0.110299,1,1
50,2,-0.827597,-0.071318,-0.228400,0.079890,1,1
