@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute f5 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
13,1,-0.708808,-0.016515,-0.369617,-0.456345,-0.366019,1,1
8,1,-0.860625,0.032795,-0.472122,-0.337549,-0.342815,1,1
10,1,-0.809365,-0.020978,-0.353007,-0.327184,-0.367185,1,1
21,1,-0.829077,0.000870,-0.462912,-0.352000,-0.443740,1,1
24,1,-0.753034,-0.126852,-0.412382,-0.355409,-0.381765,1,1
35,1,-0.945570,-0.035470,-0.448376,-0.375218,-0.404706,1,1
38,1,-0.846462,-0.089588,-0.464111,-0.361239,-0.332217,1,1
29,1,-0.769609,-0.106930,-0.354988,-0.486314,-0.353427,1,1
16,1,-0.796376,-0.019879,-0.414964,-0.459911,-0.310289,1,1
27,1,-0.748902,0.037711,-0.400583,-0.404569,-0.370961,1,1
9,1,-0.897370,-0.006508,-0.423145,-0.312990,-0.430494,1,1
28,1,-0.736554,-0.029398,-0.460362,-0.374468,-0.436972,1,1
37,1,-0.799299,-0.029358,-0.458835,-0.390446,-0.371351,1,1
32,1,-0.792587,-0.095009,-0.381291,-0.377542,-0.302421,1,1
34,1,-0.764430,-0.036582,-0.455128,-0.368903,-0.354001,1,1
33,1,-0.819319,-0.042036,-0.432699,-0.407283,-0.362110,1,1
30,1,-0.774106,-0.121024,-0.395514,-0.438599,-0.434719,1,1
25,1,-0.833167,-0.054700,-0.367432,-0.431718,-0.393072,1,1
4,1,-0.808187,0.064645,-0.400287,-0.372847,-0.235437,1,1
14,1,-0.721536,-0.019922,-0.373236,-0.368025,-0.289312,1,1
18,1,-0.768782,0.009195,-0.432590,-0.344548,-0.345772,1,1
19,1,-0.797441,-0.119897,-0.390694,-0.310399,-0.390579,1,1
7,1,-0.824042,-0.040757,-0.400695,-0.352565,-0.330191,1,1
