global_id,timestamp,f1,f2,f3,f4,class_0,class_1
1,1,-0.547918,0.003954,-0.206067,-0.085227,1,1
33,1,-0.627917,-0.020535,-0.198849,-0.063577,1,1
32,1,-0.573283,-0.004440,-0.184101,-0.128943,1,1
28,1,-0.541260,-0.129707,-0.198543,-0.101876,1,1
0,1,-0.566723,0.003262,-0.247717,-0.051976,1,1
19,1,-0.620190,-0.023796,-0.267865,-0.025334,1,1
21,1,-0.545782,-0.127688,-0.204005,-0.127910,1,1
9,1,-0.631927,-0.017894,-0.178321,-0.089160,1,1
20,1,-0.577598,-0.020429,-0.229928,-0.180335,1,1
24,1,-0.563748,-0.100867,-0.243594,-0.101892,1,1
18,1,-0.507074,0.047381,-0.195344,-0.058858,1,1
17,1,-0.617047,-0.016604,-0.165132,-0.038683,1,1
22,1,-0.629084,-0.042927,-0.157746,-0.071949,1,1
15,1,-0.494209,0.038649,-0.089234,-0.052843,1,0
13,1,-0.618863,0.057345,-0.249621,-0.036502,1,1
6,1,-0.593945,-0.063268,-0.244100,-0.059572,1,1
7,1,-0.673274,-0.143715,-0.196586,-0.055330,1,1
34,1,-0.567610,-0.085885,-0.259922,-0.021027,1,1
36,1,-0.692459,-0.157229,-0.105349,-0.121397,0,1
16,1,-0.543229,-0.151475,-0.149160,-0.051036,1,1
10,1,-0.567798,-0.034081,-0.181809,-0.079112,1,1
38,1,-0.562183,-0.026434,-0.201490,-0.021578,1,1
37,1,-0.594978,-0.073330,-0.099698,-0.127232,1,1
31,1,-0.562049,-0.095348,-0.235765,-0.182593,1,1
12,1,-0.577549,-0.016559,-0.083296,-0.123568,1,1
35,1,-0.677833,-0.019088,-0.147463,-0.039332,1,1
3,1,-0.659110,-0.024726,-0.260317,-0.012190,1,1
39,1,-0.657248,-0.097029,-0.215064,-0.099984,1,1
26,1,-0.626392,-0.027210,-0.226765,-0.061875,1,1
8,1,-0.582520,-0.015339,-0.181515,-0.126037,1,1
30,1,-0.622911,-0.072280,-0.119819,-0.163568,1,1
14,1,-0.623427,-0.022951,-0.156484,-0.110895,1,1
5,1,-0.546224,0.041175,-0.192517,-0.020332,1,1
2,1,-0.567515,-0.023391,-0.146873,0.020668,1,1
23,1,-0.654276,-0.040312,-0.207434,-0.140883,1,1
11,1,-0.576097,0.079260,-0.181410,-0.089336,1,1
4,1,-0.541417,-0.063107,-0.277144,-0.040638,1,1
27,1,-0.536254,-0.084373,-0.148170,-0.144839,1,1
29,1,-0.616902,-0.011301,-0.154195,-0.134267,1,1
25,1,-0.565935,-0.083225,-0.237148,-0.080630,1,1
66,2,-0.625764,-0.084486,-0.136524,-0.030182,1,1
41,2,-0.554363,-0.021767,0.195029,0.077997,1,1
73,2,-0.566889,-0.095551,-0.257164,-0.058492,1,1
63,2,-0.646186,-0.047727,-0.269199,-0.085292,1,1
51,2,-0.656302,-0.129598,0.232102,-0.016407,1,1
55,2,-0.627602,-0.002033,0.147902,0.089967,1,1
58,2,-0.643375,-0.036549,0.122038,-0.031704,1,1
46,2,-0.534892,-0.004810,0.154520,0.040703,1,1
45,2,-0.525565,-0.040529,0.131339,0.012005,1,1
54,2,-0.565570,0.051635,0.217173,0.008899,1,1
49,2,-0.665261,-0.023708,0.216484,0.114630,1,1
40,2,-0.587188,0.075104,0.152984,0.008724,1,1
48,2,-0.667307,-0.033275,0.173230,0.154985,1,1
62,2,-0.569513,-0.058225,-0.181721,-0.183522,1,1
57,2,-0.605239,-0.008838,0.082690,0.043132,1,1
60,2,-0.651203,-0.137902,-0.171889,-0.091363,1,1
61,2,-0.585621,-0.097391,-0.135758,-0.098494,1,1
68,2,-0.676900,-0.157624,-0.224745,-0.003487,0,1
65,2,-0.566942,-0.063841,-0.186669,-0.140221,1,1
