@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute f5 NUMERIC
@attribute f6 NUMERIC
@attribute f7 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
29,1,-0.791601,0.146344,-0.313225,-0.273655,-0.369140,-0.218176,-0.364225,1,1
3,1,-0.825966,0.132350,-0.337521,-0.293174,-0.276483,-0.282446,-0.314066,1,1
22,1,-0.780275,0.100654,-0.373051,-0.281404,-0.280197,-0.220030,-0.268933,1,1
18,1,-0.787546,0.158836,-0.266195,-0.316884,-0.222082,-0.182639,-0.290672,1,1
21,1,-0.825678,0.238529,-0.321391,-0.411705,-0.310195,-0.291040,-0.313313,1,1
6,1,-0.770935,0.165990,-0.234603,-0.296693,-0.271402,-0.284817,-0.252385,1,1
28,1,-0.884302,0.197215,-0.351310,-0.307304,-0.166242,-0.320577,-0.382444,1,1
35,1,-0.718134,0.220311,-0.261280,-0.347545,-0.285290,-0.229765,-0.289055,1,1
37,1,-0.691674,0.243424,-0.258599,-0.275352,-0.339960,-0.234302,-0.353998,1,1
5,1,-0.753603,0.126589,-0.304122,-0.341094,-0.225574,-0.261976,-0.341403,1,1
23,1,-0.850334,0.164890,-0.359138,-0.301431,-0.236937,-0.266684,-0.398016,1,1
39,1,-0.759182,0.209150,-0.303586,-0.252864,-0.333299,-0.200330,-0.256090,1,1
34,1,-0.777170,0.212695,-0.440035,-0.239127,-0.269074,-0.344163,-0.341100,1,1
20,1,-0.780706,0.143179,-0.338327,-0.309551,-0.221172,-0.299821,-0.241665,1,1
0,1,-0.827008,0.066541,-0.281778,-0.269352,-0.226264,-0.274400,-0.410994,1,1
15,1,-0.845095,0.185951,-0.334385,-0.318259,-0.263252,-0.320487,-0.371858,1,1
12,1,-0.799455,0.255492,-0.234023,-0.236432,-0.351998,-0.235722,-0.365108,1,1
7,1,-0.743553,0.249981,-0.242328,-0.169165,-0.315568,-0.290634,-0.247990,1,1
24,1,-0.819871,0.251232,-0.337518,-0.294559,-0.311203,-0.265531,-0.252166,1,1
36,1,-0.827073,0.296185,-0.321816,-0.244524,-0.220104,-0.330794,-0.385521,1,1
8,1,-0.746323,0.192034,-0.294392,-0.213807,-0.239300,-0.229763,-0.328924,1,1
25,1,-0.772093,0.219527,-0.402549,-0.294102,-0.234562,-0.295211,-0.200746,1,1
38,1,-0.763306,0.122724,-0.277589,-0.317394,-0.296403,-0.271474,-0.302088,1,1
