@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute f5 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
4,1,-0.364184,-0.006294,-0.213253,-0.187619,-0.121570,1,1
8,1,-0.376635,0.097665,-0.098655,-0.143779,-0.061429,1,1
27,1,-0.340976,0.010773,-0.226603,-0.270876,-0.259562,1,1
34,1,-0.378061,-0.051038,-0.260940,-0.145680,-0.213941,1,1
20,1,-0.339886,-0.084047,-0.147173,-0.108406,-0.288689,0,1
14,1,-0.342484,-0.007033,-0.134193,-0.164530,-0.153920,1,1
7,1,-0.405111,0.118532,-0.270380,-0.110761,-0.114691,1,1
26,1,-0.476643,0.033332,-0.216120,-0.224899,-0.158903,1,1
5,1,-0.423075,0.004917,-0.151039,-0.194101,-0.034928,1,1
17,1,-0.409750,0.070733,-0.128400,-0.072337,-0.117470,1,1
16,1,-0.414226,0.083455,-0.203881,-0.163964,-0.098062,1,1
29,1,-0.475814,-0.061831,-0.309495,-0.173608,-0.160226,1,1
38,1,-0.367444,-0.127238,-0.193931,-0.140412,-0.177463,0,1
11,1,-0.398389,-0.040973,-0.187305,-0.211550,-0.163435,1,1
22,1,-0.343377,-0.002340,-0.140337,-0.178161,-0.306013,1,1
13,1,-0.446769,-0.068004,-0.154416,-0.196342,-0.070234,1,1
9,1,-0.364731,0.050589,-0.183906,-0.190479,-0.135147,1,1
36,1,-0.410635,-0.051998,-0.235471,-0.152176,-0.215387,1,1
24,1,-0.418864,-0.118313,-0.267615,-0.292123,-0.140352,0,1
19,1,-0.427646,0.098606,-0.206515,-0.144051,-0.167748,1,1
28,1,-0.398288,-0.063291,-0.183964,-0.291956,-0.177064,1,1
18,1,-0.314417,0.169360,-0.214376,-0.072830,-0.042011,1,0
6,1,-0.443821,0.027185,-0.194291,-0.230224,-0.127130,1,1
2,1,-0.413136,0.064653,-0.225820,-0.096617,-0.161119,1,1
30,1,-0.333746,-0.033480,-0.190184,-0.217540,-0.117100,1,1
25,1,-0.420550,0.022968,-0.243752,-0.168909,-0.234990,1,1
