@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute f5 NUMERIC
@attribute f6 NUMERIC
@attribute f7 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
28,1,-0.884302,0.197215,-0.351310,-0.307304,-0.166242,-0.320577,-0.382444,1,1
17,1,-0.795908,0.177741,-0.233494,-0.259712,-0.256040,-0.210822,-0.283474,1,1
18,1,-0.787546,0.158836,-0.266195,-0.316884,-0.222082,-0.182639,-0.290672,1,1
10,1,-0.892552,0.192153,-0.299095,-0.305714,-0.201761,-0.278015,-0.355166,1,1
36,1,-0.827073,0.296185,-0.321816,-0.244524,-0.220104,-0.330794,-0.385521,1,1
9,1,-0.784142,0.182327,-0.322643,-0.275014,-0.332684,-0.223727,-0.327977,1,1
38,1,-0.763306,0.122724,-0.277589,-0.317394,-0.296403,-0.271474,-0.302088,1,1
27,1,-0.842993,0.255174,-0.279520,-0.302221,-0.243054,-0.278269,-0.358565,1,1
32,1,-0.770517,0.130652,-0.285724,-0.333282,-0.216382,-0.306987,-0.363662,1,1
3,1,-0.825966,0.132350,-0.337521,-0.293174,-0.276483,-0.282446,-0.314066,1,1
15,1,-0.845095,0.185951,-0.334385,-0.318259,-0.263252,-0.320487,-0.371858,1,1
26,1,-0.774915,0.234919,-0.381147,-0.337431,-0.248586,-0.335763,-0.343039,1,1
2,1,-0.867078,0.088102,-0.382967,-0.390820,-0.219533,-0.267236,-0.304279,1,1
35,1,-0.718134,0.220311,-0.261280,-0.347545,-0.285290,-0.229765,-0.289055,1,1
5,1,-0.753603,0.126589,-0.304122,-0.341094,-0.225574,-0.261976,-0.341403,1,1
16,1,-0.850224,0.169122,-0.365352,-0.340638,-0.228807,-0.240788,-0.360725,1,1
24,1,-0.819871,0.251232,-0.337518,-0.294559,-0.311203,-0.265531,-0.252166,1,1
33,1,-0.762586,0.174153,-0.311686,-0.323279,-0.374377,-0.250294,-0.395847,1,1
37,1,-0.691674,0.243424,-0.258599,-0.275352,-0.339960,-0.234302,-0.353998,1,1
20,1,-0.780706,0.143179,-0.338327,-0.309551,-0.221172,-0.299821,-0.241665,1,1
25,1,-0.772093,0.219527,-0.402549,-0.294102,-0.234562,-0.295211,-0.200746,1,1
0,1,-0.827008,0.066541,-0.281778,-0.269352,-0.226264,-0.274400,-0.410994,1,1
11,1,-0.773420,0.233319,-0.312791,-0.306268,-0.172364,-0.173673,-0.325177,1,1
22,1,-0.780275,0.100654,-0.373051,-0.281404,-0.280197,-0.220030,-0.268933,1,1
19,1,-0.745697,0.291005,-0.254818,-0.335763,-0.280686,-0.291123,-0.339100,1,1
7,1,-0.743553,0.249981,-0.242328,-0.169165,-0.315568,-0.290634,-0.247990,1,1
12,1,-0.799455,0.255492,-0.234023,-0.236432,-0.351998,-0.235722,-0.365108,1,1
30,1,-0.792337,0.114149,-0.309675,-0.326918,-0.311222,-0.313139,-0.332912,1,1
34,1,-0.777170,0.212695,-0.440035,-0.239127,-0.269074,-0.344163,-0.341100,1,1
23,1,-0.850334,0.164890,-0.359138,-0.301431,-0.236937,-0.266684,-0.398016,1,1
29,1,-0.791601,0.146344,-0.313225,-0.273655,-0.369140,-0.218176,-0.364225,1,1
1,1,-0.809631,0.193034,-0.204269,-0.276135,-0.301745,-0.226557,-0.347259,1,1
4,1,-0.806010,0.213175,-0.323742,-0.214091,-0.270101,-0.328947,-0.257456,1,1
13,1,-0.836862,0.252820,-0.253002,-0.240905,-0.288979,-0.241437,-0.307956,1,1
31,1,-0.780358,0.193231,-0.300493,-0.258021,-0.292551,-0.286148,-0.313051,1,1
8,1,-0.746323,0.192034,-0.294392,-0.213807,-0.239300,-0.229763,-0.328924,1,1
14,1,-0.842438,0.284095,-0.301714,-0.265473,-0.242126,-0.249814,-0.283300,1,1
39,1,-0.759182,0.209150,-0.303586,-0.252864,-0.333299,-0.200330,-0.256090,1,1
21,1,-0.825678,0.238529,-0.321391,-0.411705,-0.310195,-0.291040,-0.313313,1,1
6,1,-0.770935,0.165990,-0.234603,-0.296693,-0.271402,-0.284817,-0.252385,1,1
43,2,-0.813591,0.197296,-0.281313,-0.351752,-0.250864,-0.241381,-0.389700,1,1
61,2,-0.763004,0.175480,-0.394543,-0.226706,-0.195977,-0.371916,-0.357149,1,1
73,2,-0.784746,0.190222,-0.321340,-0.280013,-0.203895,-0.248019,-0.276629,1,1
49,2,-0.792168,0.240451,-0.257849,-0.288444,-0.314595,-0.268113,-0.382217,1,1
75,2,-0.826811,0.149872,-0.330708,-0.282648,-0.291222,-0.268678,-0.368020,1,1
44,2,-0.906912,0.223601,-0.283077,-0.371652,-0.235996,-0.230456,-0.228301,1,1
62,2,-0.843325,0.114772,-0.265284,-0.243373,-0.271276,-0.290230,-0.320674,1,1
64,2,-0.838163,0.097456,-0.234154,-0.369095,-0.181607,-0.244725,-0.318678,1,1
51,2,-0.773615,0.152875,-0.303503,-0.292163,-0.305262,-0.369425,-0.308684,1,1
57,2,-0.781270,0.255525,-0.336765,-0.221905,-0.250648,-0.270199,-0.315749,1,1
65,2,-0.872592,0.142473,-0.297581,-0.244020,-0.281966,-0.326670,-0.361941,1,1
72,2,-0.794717,0.247740,-0.326772,-0.303316,-0.201302,-0.289336,-0.378518,1,1
52,2,-0.793316,0.210590,-0.227971,-0.333369,-0.285945,-0.192019,-0.306159,1,1
58,2,-0.825003,0.148041,-0.265423,-0.283092,-0.285230,-0.296433,-0.219308,1,1
78,2,-0.799690,0.147582,-0.264077,-0.339077,-0.324048,-0.314945,-0.279401,1,1
67,2,-0.769287,0.099731,-0.253052,-0.313594,-0.258101,-0.267104,-0.338056,1,1
47,2,-0.838254,0.224119,-0.257302,-0.300448,-0.228298,-0.407435,-0.271031,1,1
77,2,-0.828315,-0.003848,-0.378832,-0.275976,-0.319418,-0.294309,-0.308951,0,1
48,2,-0.804211,0.144069,-0.279603,-0.211347,-0.286293,-0.384156,-0.282932,1,1
71,2,-0.826214,0.175284,-0.393678,-0.187624,-0.281514,-0.262508,-0.324599,1,1
50,2,-0.861216,0.245676,-0.332836,-0.288416,-0.162782,-0.268237,-0.274879,1,1
53,2,-0.808809,0.168729,-0.335975,-0.214112,-0.236327,-0.317890,-0.371735,1,1
63,2,-0.816798,0.096778,-0.304838,-0.262597,-0.252021,-0.272850,-0.268606,1,1
68,2,-0.771433,0.240271,-0.283294,-0.283573,-0.233847,-0.239923,-0.395494,1,1
76,2,-0.767279,0.216363,-0.244703,-0.355149,-0.306091,-0.338017,-0.345301,1,1
70,2,-0.776195,0.162264,-0.360695,-0.283523,-0.247509,-0.260823,-0.400837,1,1
59,2,-0.774745,0.151189,-0.266941,-0.288782,-0.364264,-0.301782,-0.281689,1,1
40,2,-0.763036,0.274194,-0.244157,-0.248556,-0.331578,-0.222434,-0.143846,1,1
79,2,-0.833192,0.173046,-0.364563,-0.355791,-0.288379,-0.296330,-0.279304,1,1
45,2,-0.786822,0.283812,-0.335540,-0.215001,-0.283913,-0.200961,-0.243538,1,1
41,2,-0.738447,0.198366,-0.303404,-0.298107,-0.311702,-0.337079,-0.240494,1,1
66,2,-0.746286,0.224994,-0.269616,-0.290224,-0.320383,-0.276422,-0.260491,1,1
54,2,-0.723154,0.144152,-0.247124,-0.327327,-0.264610,-0.299522,-0.322678,1,1
69,2,-0.776163,0.112125,-0.266896,-0.204189,-0.222932,-0.351999,-0.279603,1,1
56,2,-0.782164,0.229962,-0.414662,-0.312969,-0.116076,-0.245308,-0.333142,1,1
46,2,-0.786742,0.188296,-0.373801,-0.293250,-0.209515,-0.405585,-0.334119,1,1
74,2,-0.765200,0.168969,-0.245405,-0.292666,-0.314918,-0.423629,-0.283746,1,1
55,2,-0.843204,0.172846,-0.301346,-0.243809,-0.260236,-0.275658,-0.337961,1,1
60,2,-0.757458,0.182444,-0.344155,-0.257934,-0.309115,-0.245065,-0.342761,1,1
42,2,-0.894220,0.150861,-0.218511,-0.276547,-0.276029,-0.300379,-0.264268,1,1
83,3,-0.822312,0.171585,-0.342726,-0.284814,-0.218772,-0.230397,-0.285549,1,1
92,3,-0.853145,0.129083,-0.353314,-0.272747,-0.259991,-0.276113,-0.347454,1,1
93,3,-0.807129,0.225831,-0.293026,-0.194163,-0.307045,-0.258185,-0.240026,1,1
95,3,-0.828259,0.276939,-0.229130,-0.254107,-0.227651,-0.347225,-0.216666,1,1
97,3,-0.799516,0.189090,-0.324035,-0.231105,-0.240853,-0.339729,-0.232190,1,1
88,3,-0.901548,0.188856,-0.277826,-0.287786,-0.313224,-0.266968,-0.308726,1,1
115,3,-0.764062,0.244096,-0.314312,-0.277561,-0.297817,-0.261852,-0.311321,1,1
87,3,-0.708797,0.114010,-0.268050,-0.270286,-0.224562,-0.234959,-0.285741,1,1
116,3,-0.793467,0.158547,-0.322586,-0.265676,-0.231954,-0.393717,-0.310375,1,1
99,3,-0.711584,0.201515,-0.394620,-0.310258,-0.325681,-0.313340,-0.307878,1,1
90,3,-0.668845,0.162759,-0.267622,-0.314139,-0.216159,-0.312241,-0.277674,1,1
85,3,-0.790292,0.204773,-0.362808,-0.295463,-0.274610,-0.178932,-0.351077,1,1
118,3,-0.799661,0.061165,-0.253237,-0.256604,-0.307282,-0.303500,-0.246823,1,1
117,3,-0.787244,0.189522,-0.235875,-0.268412,-0.210451,-0.257646,-0.320377,1,1
94,3,-0.863262,0.136675,-0.306127,-0.242958,-0.291721,-0.330710,-0.280813,1,1
98,3,-0.807073,0.251340,-0.298718,-0.238501,-0.304251,-0.287652,-0.358508,1,1
109,3,-0.830300,0.192425,-0.302111,-0.310463,-0.241715,-0.200359,-0.179093,1,1
107,3,-0.881550,0.106095,-0.229303,-0.238205,-0.327940,-0.247315,-0.281369,1,1
100,3,-0.921636,0.229016,-0.300546,-0.290747,-0.247165,-0.223096,-0.320775,1,1
104,3,-0.735875,0.091875,-0.349549,-0.210438,-0.091080,-0.281247,-0.239853,1,1
86,3,-0.716838,0.174133,-0.317333,-0.282294,-0.313860,-0.211491,-0.265656,1,1
96,3,-0.837809,0.201693,-0.283760,-0.248650,-0.243507,-0.263227,-0.295755,1,1
91,3,-0.888223,0.176419,-0.324420,-0.229767,-0.255192,-0.345742,-0.251998,1,1
108,3,-0.792776,0.258238,-0.253501,-0.307758,-0.242600,-0.367095,-0.232303,1,1
84,3,-0.789899,0.221989,-0.312789,-0.293457,-0.185380,-0.294492,-0.263177,1,1
110,3,-0.838781,0.238327,-0.410473,-0.268373,-0.152356,-0.211326,-0.303088,1,1
112,3,-0.772710,0.135225,-0.371183,-0.229345,-0.283793,-0.334162,-0.305852,1,1
119,3,-0.801608,0.146570,-0.274899,-0.310630,-0.362556,-0.263494,-0.324046,1,1
113,3,-0.848514,0.105302,-0.301106,-0.217610,-0.217661,-0.310822,-0.341446,1,1
80,3,-0.713546,0.105325,-0.269950,-0.258102,-0.192845,-0.246442,-0.218305,1,1
103,3,-0.821638,0.294322,-0.289235,-0.280910,-0.219925,-0.269376,-0.345436,1,1
101,3,-0.785456,0.218271,-0.371308,-0.265443,-0.221598,-0.316674,-0.313390,1,1
106,3,-0.743799,0.124214,-0.294599,-0.232506,-0.223235,-0.283627,-0.206755,1,1
105,3,-0.748808,0.238941,-0.320546,-0.264014,-0.269942,-0.316342,-0.247221,1,1
89,3,-0.820538,0.237684,-0.372827,-0.275718,-0.264916,-0.263862,-0.278209,1,1
114,3,-0.838658,0.159973,-0.343164,-0.313874,-0.284073,-0.272015,-0.324514,1,1
81,3,-0.724221,0.195127,-0.304537,-0.271852,-0.283527,-0.220123,-0.166970,1,1
111,3,-0.782187,0.237261,-0.324765,-0.327707,-0.304369,-0.331206,-0.309146,1,1
82,3,-0.850116,0.198563,-0.356174,-0.317772,-0.226792,-0.288238,-0.333758,1,1
102,3,-0.792431,0.199529,-0.228349,-0.231925,-0.299829,-0.282175,-0.315620,1,1
154,4,-0.777960,0.088480,-0.283256,-0.319455,-0.374819,-0.252520,-0.283328,1,1
122,4,-0.805782,0.127721,-0.287138,-0.301168,-0.303650,-0.298210,-0.307986,1,1
137,4,-0.742837,0.258946,-0.286151,-0.250038,-0.263715,-0.186215,-0.301041,1,1
124,4,-0.795794,0.281371,-0.261624,-0.156881,-0.182601,-0.317723,-0.344945,1,1
148,4,-0.690461,0.140994,-0.206789,-0.228235,-0.248277,-0.172227,-0.309624,1,1
132,4,-0.804886,0.153203,-0.244541,-0.293656,-0.243945,-0.205870,-0.258031,1,1
149,4,-0.844327,0.244710,-0.281407,-0.302094,-0.318502,-0.307325,-0.347700,1,1
143,4,-0.777460,0.185060,-0.364522,-0.338738,-0.268923,-0.330051,-0.417473,1,1
120,4,-0.881570,0.290530,-0.269620,-0.218112,-0.342081,-0.235887,-0.276391,1,1
142,4,-0.784552,0.151129,-0.368379,-0.263160,-0.230739,-0.311286,-0.268695,1,1
138,4,-0.742526,0.149144,-0.297109,-0.317399,-0.192189,-0.303956,-0.366690,1,1
134,4,-0.758466,0.152117,-0.305381,-0.281281,-0.281937,-0.323584,-0.282627,1,1
130,4,-0.716588,0.219408,-0.413123,-0.236048,-0.216756,-0.292674,-0.316008,1,1
147,4,-0.762039,0.218301,-0.243733,-0.259795,-0.256713,-0.347527,-0.195169,1,1
139,4,-0.692173,0.216897,-0.282501,-0.335274,-0.238589,-0.306408,-0.322450,1,1
140,4,-0.709044,0.175698,-0.322256,-0.241792,-0.313819,-0.317139,-0.332912,1,1
121,4,-0.714589,0.193585,-0.287897,-0.233996,-0.226688,-0.316339,-0.321314,1,1
151,4,-0.763781,0.119728,-0.298766,-0.258661,-0.262317,-0.295576,-0.261333,1,1
156,4,-0.814724,0.255137,-0.319337,-0.293155,-0.236232,-0.231295,-0.299552,1,1
136,4,-0.760065,0.211590,-0.301252,-0.253704,-0.170864,-0.260760,-0.316153,1,1
145,4,-0.691146,0.211345,-0.282353,-0.197699,-0.283379,-0.262750,-0.255904,1,1
123,4,-0.762227,0.213545,-0.249792,-0.253254,-0.235365,-0.190490,-0.325833,1,1
153,4,-0.765788,0.118262,-0.373882,-0.306861,-0.279359,-0.375417,-0.356567,1,1
155,4,-0.879247,0.096105,-0.204292,-0.247457,-0.231474,-0.264526,-0.338934,1,1
152,4,-0.811185,0.140244,-0.343503,-0.223528,-0.394491,-0.303683,-0.324707,1,1
146,4,-0.711659,0.098015,-0.334487,-0.180686,-0.291531,-0.226453,-0.316544,1,1
127,4,-0.677062,0.204733,-0.261099,-0.194792,-0.254556,-0.270684,-0.337610,1,1
141,4,-0.769566,0.191298,-0.313712,-0.407179,-0.290374,-0.260356,-0.238608,1,1
159,4,-0.756473,0.261710,-0.348557,-0.346110,-0.244293,-0.291986,-0.274317,1,1
128,4,-0.776674,0.253492,-0.265474,-0.379104,-0.209483,-0.328387,-0.317961,1,1
129,4,-0.806019,0.162385,-0.220086,-0.268132,-0.231615,-0.257319,-0.318142,1,1
131,4,-0.755770,0.171271,-0.332520,-0.196680,-0.295006,-0.263313,-0.314870,1,1
133,4,-0.765151,0.114795,-0.312386,-0.382480,-0.212734,-0.313199,-0.217051,1,1
126,4,-0.748682,0.152963,-0.234059,-0.358220,-0.172735,-0.372385,-0.309375,1,1
125,4,-0.826465,0.209281,-0.233874,-0.285262,-0.182810,-0.299473,-0.268860,1,1
144,4,-0.716477,0.113923,-0.300076,-0.300326,-0.285996,-0.322976,-0.236905,1,1
158,4,-0.880879,0.211077,-0.308018,-0.265415,-0.277800,-0.218003,-0.266858,1,1
150,4,-0.811000,0.182835,-0.260476,-0.243194,-0.287038,-0.301011,-0.392461,1,1
157,4,-0.865442,0.141787,-0.337470,-0.330499,-0.167343,-0.337495,-0.254170,1,1
135,4,-0.746575,0.207560,-0.272075,-0.220381,-0.255371,-0.247251,-0.418141,1,1
175,5,-0.849148,0.249291,-0.263353,-0.304794,-0.292672,-0.210077,-0.229805,1,1
186,5,-0.757027,0.107317,-0.327838,-0.287949,-0.281874,-0.312534,-0.317103,1,1
189,5,-0.751224,0.213849,-0.366960,-0.288666,-0.166609,-0.349533,-0.356550,1,1
195,5,-0.783704,0.165251,-0.299002,-0.310761,-0.324988,-0.262384,-0.284723,1,1
