global_id,timestamp,f1,f2,f3,f4,class_0,class_1
22,1,-0.798537,-0.083785,-0.097944,-0.077097,1,1
20,1,-0.716245,-0.070126,-0.135891,-0.182242,1,1
32,1,-0.771653,-0.066179,0.019660,-0.078683,1,1
11,1,-0.759118,-0.043375,0.186417,-0.166738,1,1
1,1,-0.801565,0.071985,0.199246,-0.112941,1,1
25,1,-0.803080,0.044414,-0.159563,-0.085152,1,1
7,1,-0.796379,0.106947,0.221479,-0.252148,1,0
0,1,-0.888980,0.028233,0.190892,-0.226066,1,1
37,1,-0.835224,0.023841,-0.085037,-0.136020,1,1
6,1,-0.791826,-0.007491,0.246644,-0.226673,1,1
28,1,-0.797694,-0.013280,-0.054921,-0.058716,1,1
16,1,-0.799113,0.049808,0.033707,-0.201632,1,1
23,1,-0.742052,0.040630,-0.089731,-0.094186,1,1
15,1,-0.752267,0.033188,0.345271,-0.214662,1,1
4,1,-0.771254,0.043083,0.123460,-0.212157,1,1
39,1,-0.743691,-0.061805,-0.024493,-0.162699,1,1
14,1,-0.767583,0.036350,0.146733,-0.147489,1,1
17,1,-0.867644,0.017667,0.178305,-0.138206,1,1
3,1,-0.732955,0.002588,0.221613,-0.230782,1,1
30,1,-0.848372,-0.065889,-0.061866,-0.124642,1,1
2,1,-0.879386,-0.036646,0.177677,-0.205397,1,1
29,1,-0.729748,-0.031283,0.004007,-0.121192,1,1
26,1,-0.797527,-0.003408,-0.058924,-0.077884,1,1
5,1,-0.810663,0.063883,0.214837,-0.200386,1,1
31,1,-0.768430,-0.034555,-0.017973,-0.225029,1,1
10,1,-0.740407,-0.020158,0.192132,-0.262852,1,1
19,1,-0.789903,0.018201,0.193650,-0.191655,1,1
21,1,-0.760719,-0.122406,-0.043645,-0.057480,1,1
38,1,-0.782967,-0.042752,-0.111305,-0.079109,1,1
24,1,-0.785485,-0.044260,0.033875,-0.092600,1,1
35,1,-0.791158,-0.101337,-0.074984,-0.153004,1,1
13,1,-0.857436,-0.056238,0.174920,-0.247263,1,1
9,1,-0.823151,0.025549,0.217682,-0.268735,1,1
8,1,-0.811606,-0.012380,0.157384,-0.180246,1,1
34,1,-0.760205,0.002318,-0.077634,-0.054555,1,1
12,1,-0.860418,-0.037602,0.210908,-0.143756,1,1
27,1,-0.832140,-0.071464,-0.040720,-0.116572,1,1
36,1,-0.873830,-0.054306,-0.085310,-0.096116,1,1
33,1,-0.807548,-0.028343,-0.008650,-0.216485,1,1
18,1,-0.767035,0.009989,0.241591,-0.153406,1,1
73,2,-0.714788,-0.102029,-0.043536,0.014906,1,1
62,2,-0.767876,-0.036015,-0.052461,-0.137824,1,1
74,2,-0.784734,-0.050562,-0.031771,-0.122454,1,1
66,2,-0.869432,-0.090355,-0.058334,-0.100679,1,1
58,2,-0.803808,-0.007857,0.200109,-0.262461,1,1
47,2,-0.745209,0.116517,0.234489,-0.154465,1,0
65,2,-0.840376,-0.070934,-0.062485,-0.131718,1,1
63,2,-0.798295,-0.076222,-0.071162,-0.141710,1,1
61,2,-0.875268,-0.092201,-0.095905,-0.040325,1,1
68,2,-0.829860,-0.070149,-0.038973,-0.066943,1,1
69,2,-0.769532,-0.047604,0.038975,0.038754,1,1
42,2,-0.791265,0.048336,0.295727,-0.207632,1,1
54,2,-0.774134,-0.059152,0.104257,-0.079227,1,1
67,2,-0.763332,-0.018025,0.009418,-0.146553,1,1
55,2,-0.766254,-0.051692,0.272345,-0.249159,1,1
45,2,-0.871192,-0.063817,0.196606,-0.132366,1,1
75,2,-0.821980,-0.078824,0.033334,-0.189119,1,1
60,2,-0.780730,-0.080729,-0.021344,-0.145935,1,1
64,2,-0.824995,-0.020341,0.007251,-0.159965,1,1
78,2,-0.821506,0.053395,-0.034129,-0.058327,1,1
48,2,-0.743421,-0.095186,0.109754,-0.144926,1,1
59,2,-0.772844,0.004636,0.299667,-0.214232,1,1
76,2,-0.750294,0.014376,-0.014930,-0.063392,1,1
79,2,-0.782876,-0.024530,0.006729,-0.193903,1,1
46,2,-0.895294,0.088594,0.193719,-0.125716,1,0
40,2,-0.751955,-0.034719,0.217012,-0.236002,1,1
77,2,-0.810488,-0.109403,0.016534,-0.116984,1,1
72,2,-0.740571,-0.018253,-0.121299,-0.156009,1,1
70,2,-0.783313,-0.051437,-0.063442,-0.145234,1,1
41,2,-0.839726,0.061464,0.188923,-0.184925,1,1
43,2,-0.811053,0.002692,0.157986,-0.199491,1,1
44,2,-0.869744,-0.032491,0.248611,-0.167510,1,1
56,2,-0.785095,-0.022990,0.188897,-0.248844,1,1
53,2,-0.845401,0.024889,0.233027,-0.165664,1,1
71,2,-0.795215,-0.013887,-0.118120,-0.162844,1,1
49,2,-0.847796,-0.052292,0.167075,-0.250142,1,1
51,2,-0.813848,0.038589,0.320271,-0.131756,1,1
52,2,-0.794766,0.055696,0.278445,-0.199755,1,1
50,2,-0.823378,-0.079143,0.234084,-0.200636,1,1
57,2,-0.764669,0.053077,0.196196,-0.187322,1,1
101,3,-0.865282,0.036233,-0.064593,-0.098546,1,1
118,3,-0.770505,-0.055229,-0.045621,-0.137682,1,1
111,3,-0.792712,-0.070502,-0.101588,-0.158582,1,1
109,3,-0.831519,-0.084093,-0.164003,-0.150676,1,1
117,3,-0.752724,-0.057537,-0.101396,-0.087967,1,1
119,3,-0.857906,-0.106816,-0.102606,-0.096216,1,1
108,3,-0.816508,-0.020699,-0.083234,-0.183108,1,1
115,3,-0.824042,-0.009440,-0.018766,-0.049658,1,1
114,3,-0.786263,-0.067035,-0.104521,-0.083602,1,1
91,3,-0.691748,0.026149,0.296969,-0.153199,1,1
94,3,-0.869341,0.020549,0.234869,-0.268353,1,1
85,3,-0.844556,0.006555,0.200958,-0.304330,1,1
96,3,-0.733870,-0.047806,0.090300,-0.164129,1,1
84,3,-0.746354,0.130008,0.182845,-0.111488,1,0
106,3,-0.826929,-0.063368,-0.084041,-0.097200,1,1
80,3,-0.713176,-0.002433,0.214318,-0.212935,1,1
81,3,-0.777335,0.000849,0.175465,-0.229059,1,1
82,3,-0.856363,-0.048668,0.134125,-0.101545,1,1
92,3,-0.797971,0.017627,0.157603,-0.210206,1,1
89,3,-0.732569,-0.011456,0.231895,-0.209195,1,1
93,3,-0.747432,0.003510,0.229291,-0.192010,1,1
110,3,-0.790060,-0.083211,-0.051786,-0.131528,1,1
98,3,-0.789761,0.056954,0.209571,-0.064867,1,1
103,3,-0.750115,-0.088677,-0.001761,-0.107829,1,1
113,3,-0.705634,-0.067929,-0.148436,-0.132716,1,1
97,3,-0.801035,0.039771,0.218660,-0.109998,1,1
112,3,-0.776222,-0.158176,-0.008147,-0.153274,0,1
107,3,-0.748358,-0.181875,-0.077062,-0.098522,0,1
87,3,-0.840582,0.014220,0.223317,-0.193750,1,1
116,3,-0.771962,-0.110567,-0.084150,-0.096528,1,1
83,3,-0.881821,-0.057085,0.227740,-0.199178,1,1
100,3,-0.721963,-0.009986,-0.035061,-0.148799,1,1
102,3,-0.792188,-0.021326,-0.015199,-0.114371,1,1
95,3,-0.694248,0.035340,0.231310,-0.225682,1,1
88,3,-0.780383,0.079197,0.254920,-0.203855,1,1
104,3,-0.803918,0.008597,-0.029339,-0.199286,1,1
105,3,-0.785059,-0.008160,-0.024495,-0.183091,1,1
99,3,-0.757070,-0.051115,0.256045,-0.160573,1,1
86,3,-0.851985,0.044085,0.088308,-0.199114,1,1
90,3,-0.802075,-0.052403,0.322751,-0.198600,1,1
143,4,-0.809889,-0.070001,-0.229290,-0.181692,1,1
152,4,-0.864306,-0.085454,-0.161924,-0.064081,1,1
133,4,-0.831264,-0.002007,0.170379,-0.185348,1,1
142,4,-0.811180,-0.136290,-0.199099,-0.071409,1,1
146,4,-0.818142,0.044988,-0.169203,-0.034964,1,1
131,4,-0.838603,-0.029313,0.197386,-0.155973,1,1
158,4,-0.727624,-0.052688,-0.123551,-0.127202,1,1
145,4,-0.727513,0.019609,-0.113377,-0.073886,1,1
140,4,-0.792320,-0.090010,-0.181247,-0.061068,1,1
144,4,-0.763708,-0.100168,-0.222675,-0.065359,1,1
157,4,-0.804862,-0.068275,-0.112368,-0.165198,1,1
134,4,-0.844516,-0.040762,0.269194,-0.135151,1,1
155,4,-0.805257,-0.055742,-0.072997,-0.162304,1,1
139,4,-0.791545,0.004243,0.178585,-0.222623,1,1
122,4,-0.695613,0.065447,0.298443,-0.171861,1,0
148,4,-0.773487,-0.030634,-0.100929,-0.166642,1,1
124,4,-0.817164,0.043442,0.213585,-0.223006,1,1
132,4,-0.825664,-0.017088,0.210953,-0.298023,1,1
154,4,-0.781128,-0.085545,-0.127464,-0.128528,1,1
136,4,-0.804975,0.013146,0.250013,-0.040668,1,1
151,4,-0.842784,-0.203711,-0.178968,-0.124122,0,1
135,4,-0.741394,-0.017551,0.209832,-0.169165,1,1
149,4,-0.884398,-0.028586,-0.111309,-0.057921,1,1
153,4,-0.794486,0.010708,-0.233352,-0.268250,1,1
150,4,-0.800209,0.084836,-0.097195,-0.082172,1,1
126,4,-0.790990,-0.007780,0.256059,-0.272126,1,1
141,4,-0.725176,-0.042944,-0.157879,-0.042181,1,1
138,4,-0.771093,-0.049825,0.230744,-0.202860,1,1
121,4,-0.855023,0.041743,0.315610,-0.154571,1,1
137,4,-0.859723,0.024097,0.295466,-0.249439,1,1
123,4,-0.769219,0.046575,0.297199,-0.271573,1,1
130,4,-0.885810,0.049440,0.239826,-0.186201,1,1
159,4,-0.834316,-0.113993,-0.139221,-0.144153,1,1
120,4,-0.782426,0.049136,0.254879,-0.153305,1,1
129,4,-0.746055,-0.012560,0.207487,-0.186357,1,1
127,4,-0.804231,0.006889,0.274519,-0.197252,1,1
147,4,-0.881073,-0.050869,-0.145577,-0.092134,1,1
156,4,-0.887641,-0.054072,-0.193156,-0.062641,1,1
128,4,-0.721687,-0.013907,0.164738,-0.171387,1,1
125,4,-0.774166,0.013121,0.149403,-0.304679,1,1
171,5,-0.753815,-0.027974,0.231628,-0.276162,1,1
189,5,-0.870581,0.025222,-0.222467,-0.133245,1,1
175,5,-0.791131,-0.042320,0.238752,-0.249435,1,1
182,5,-0.732275,-0.046428,-0.088063,-0.067853,1,1
177,5,-0.700584,0.071490,0.170901,-0.165299,1,0
180,5,-0.830747,-0.014461,-0.134511,-0.147240,1,1
191,5,-0.792265,-0.039153,-0.133346,-0.002369,1,1
160,5,-0.741349,-0.156854,0.130791,-0.160016,1,1
197,5,-0.844035,-0.116973,-0.132521,-0.125384,1,1
174,5,-0.806751,0.052535,0.257538,-0.206497,1,1
173,5,-0.902989,-0.120877,0.262436,-0.222186,1,1
183,5,-0.765115,0.071465,-0.074361,-0.140754,1,1
163,5,-0.858922,0.103158,0.146804,-0.186736,1,0
164,5,-0.873948,0.023673,0.116197,-0.193406,1,1
161,5,-0.765463,0.022478,0.172739,-0.141378,1,1
198,5,-0.719022,0.009697,-0.089614,-0.061671,1,1
172,5,-0.772724,-0.029553,0.241551,-0.219983,1,1
194,5,-0.829187,-0.118474,-0.163422,-0.144901,1,1
193,5,-0.824483,0.021986,-0.117397,-0.100481,1,1
181,5,-0.818891,-0.021953,-0.074368,-0.138830,1,1
169,5,-0.753459,0.035773,0.150545,-0.197404,1,1
184,5,-0.801654,-0.029326,-0.197046,-0.069001,1,1
199,5,-0.755409,0.000157,-0.129204,-0.117145,1,1
178,5,-0.832427,-0.016522,0.211592,-0.200623,1,1
187,5,-0.884053,-0.011739,-0.085403,-0.056898,1,1
170,5,-0.828800,0.042636,0.266829,-0.195776,1,1
