global_id,timestamp,f1,f2,f3,f4,class_0,class_1
11,1,-0.759118,-0.043375,0.186417,-0.166738,1,1
36,1,-0.873830,-0.054306,-0.085310,-0.096116,1,1
9,1,-0.823151,0.025549,0.217682,-0.268735,1,1
14,1,-0.767583,0.036350,0.146733,-0.147489,1,1
8,1,-0.811606,-0.012380,0.157384,-0.180246,1,1
39,1,-0.743691,-0.061805,-0.024493,-0.162699,1,1
27,1,-0.832140,-0.071464,-0.040720,-0.116572,1,1
38,1,-0.782967,-0.042752,-0.111305,-0.079109,1,1
22,1,-0.798537,-0.083785,-0.097944,-0.077097,1,1
34,1,-0.760205,0.002318,-0.077634,-0.054555,1,1
7,1,-0.796379,0.106947,0.221479,-0.252148,1,0
23,1,-0.742052,0.040630,-0.089731,-0.094186,1,1
2,1,-0.879386,-0.036646,0.177677,-0.205397,1,1
19,1,-0.789903,0.018201,0.193650,-0.191655,1,1
6,1,-0.791826,-0.007491,0.246644,-0.226673,1,1
12,1,-0.860418,-0.037602,0.210908,-0.143756,1,1
37,1,-0.835224,0.023841,-0.085037,-0.136020,1,1
18,1,-0.767035,0.009989,0.241591,-0.153406,1,1
0,1,-0.888980,0.028233,0.190892,-0.226066,1,1
31,1,-0.768430,-0.034555,-0.017973,-0.225029,1,1
24,1,-0.785485,-0.044260,0.033875,-0.092600,1,1
13,1,-0.857436,-0.056238,0.174920,-0.247263,1,1
32,1,-0.771653,-0.066179,0.019660,-0.078683,1,1
10,1,-0.740407,-0.020158,0.192132,-0.262852,1,1
3,1,-0.732955,0.002588,0.221613,-0.230782,1,1
4,1,-0.771254,0.043083,0.123460,-0.212157,1,1
5,1,-0.810663,0.063883,0.214837,-0.200386,1,1
25,1,-0.803080,0.044414,-0.159563,-0.085152,1,1
21,1,-0.760719,-0.122406,-0.043645,-0.057480,1,1
33,1,-0.807548,-0.028343,-0.008650,-0.216485,1,1
30,1,-0.848372,-0.065889,-0.061866,-0.124642,1,1
29,1,-0.729748,-0.031283,0.004007,-0.121192,1,1
20,1,-0.716245,-0.070126,-0.135891,-0.182242,1,1
35,1,-0.791158,-0.101337,-0.074984,-0.153004,1,1
