global_id,timestamp,f1,f2,f3,f4,f5,class_0,class_1
39,1,-0.872609,-0.133795,-0.406739,-0.368722,-0.317674,0,1
29,1,-0.807108,-0.117186,-0.428721,-0.436096,-0.382846,1,1
21,1,-0.819212,-0.122732,-0.354472,-0.470424,-0.332942,1,1
19,1,-0.857606,0.081872,-0.428743,-0.365694,-0.387756,1,0
12,1,-0.809318,-0.047507,-0.352804,-0.229069,-0.344800,1,1
20,1,-0.894399,-0.072459,-0.432895,-0.382388,-0.403432,1,1
14,1,-0.788008,-0.019169,-0.406138,-0.408641,-0.315909,1,1
37,1,-0.817031,-0.162949,-0.461731,-0.395668,-0.433586,0,1
6,1,-0.798895,-0.027462,-0.261173,-0.357936,-0.416671,1,1
25,1,-0.747334,-0.157924,-0.489512,-0.356878,-0.444694,0,1
15,1,-0.795416,-0.031961,-0.320185,-0.356905,-0.276350,1,1
33,1,-0.855749,-0.128288,-0.457904,-0.395426,-0.422790,1,1
30,1,-0.761754,-0.091693,-0.440678,-0.460375,-0.444517,1,1
36,1,-0.784138,-0.129660,-0.417688,-0.395905,-0.360544,1,1
27,1,-0.791216,-0.139010,-0.496217,-0.420697,-0.465239,1,1
8,1,-0.742769,-0.015086,-0.438906,-0.404619,-0.377407,1,1
9,1,-0.880686,-0.013767,-0.285272,-0.452917,-0.317411,1,1
7,1,-0.898654,-0.055999,-0.380633,-0.414196,-0.404020,1,1
17,1,-0.862983,-0.041094,-0.438188,-0.419266,-0.368686,1,1
34,1,-0.886504,-0.087506,-0.470434,-0.414890,-0.427483,1,1
26,1,-0.739430,-0.076016,-0.430231,-0.417777,-0.364301,1,1
16,1,-0.870857,0.054212,-0.439937,-0.437128,-0.275350,1,0
4,1,-0.759713,0.019878,-0.556714,-0.372851,-0.333698,1,1
3,1,-0.814929,0.042153,-0.451883,-0.412134,-0.342727,1,1
13,1,-0.859196,0.028104,-0.401775,-0.382978,-0.345515,1,1
28,1,-0.703475,0.020185,-0.510533,-0.429163,-0.387514,1,1
35,1,-0.748542,-0.077106,-0.464425,-0.395531,-0.436643,1,1
10,1,-0.754370,0.082600,-0.369266,-0.289917,-0.340357,1,0
31,1,-0.815711,-0.056418,-0.479075,-0.395473,-0.450210,1,1
5,1,-0.745989,0.024707,-0.386870,-0.448936,-0.413770,1,1
32,1,-0.794478,-0.069991,-0.490246,-0.466458,-0.362400,1,1
18,1,-0.814351,0.064689,-0.477135,-0.374209,-0.302679,1,0
0,1,-0.777768,0.005570,-0.348285,-0.287427,-0.331823,1,1
22,1,-0.854291,-0.075079,-0.388114,-0.383874,-0.346837,1,1
38,1,-0.797306,-0.127679,-0.394133,-0.514658,-0.483081,1,1
1,1,-0.851921,0.104266,-0.294388,-0.354193,-0.368683,1,0
24,1,-0.757595,-0.031462,-0.441069,-0.376518,-0.465557,1,1
2,1,-0.863650,0.019503,-0.403276,-0.423355,-0.326167,1,1
11,1,-0.736143,0.010937,-0.329627,-0.394007,-0.379321,1,1
23,1,-0.770974,-0.034278,-0.473158,-0.399514,-0.423935,1,1
66,2,-0.792919,-0.147878,-0.428910,-0.382666,-0.413733,1,1
73,2,-0.843090,-0.053020,-0.411747,-0.463367,-0.384559,1,1
56,2,-0.729858,-0.019056,-0.376875,-0.331907,-0.341343,1,1
46,2,-0.729191,0.041286,-0.398481,-0.348185,-0.300128,1,1
49,2,-0.763989,0.029842,-0.488236,-0.371496,-0.473786,1,1
75,2,-0.784391,-0.147528,-0.491004,-0.404357,-0.402441,1,1
60,2,-0.834994,-0.060374,-0.400489,-0.403983,-0.403139,1,1
62,2,-0.853678,-0.127239,-0.405667,-0.463562,-0.393090,1,1
59,2,-0.810664,-0.006553,-0.523828,-0.374832,-0.328188,1,1
65,2,-0.774371,-0.088295,-0.518182,-0.333317,-0.455975,1,1
40,2,-0.757221,0.080308,-0.429782,-0.364129,-0.321595,1,0
78,2,-0.768882,-0.064271,-0.453839,-0.512150,-0.350363,1,1
