@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute f5 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
20,1,-0.894399,-0.072459,-0.432895,-0.382388,-0.403432,1,1
1,1,-0.851921,0.104266,-0.294388,-0.354193,-0.368683,1,0
37,1,-0.817031,-0.162949,-0.461731,-0.395668,-0.433586,0,1
33,1,-0.855749,-0.128288,-0.457904,-0.395426,-0.422790,1,1
28,1,-0.703475,0.020185,-0.510533,-0.429163,-0.387514,1,1
10,1,-0.754370,0.082600,-0.369266,-0.289917,-0.340357,1,0
12,1,-0.809318,-0.047507,-0.352804,-0.229069,-0.344800,1,1
13,1,-0.859196,0.028104,-0.401775,-0.382978,-0.345515,1,1
0,1,-0.777768,0.005570,-0.348285,-0.287427,-0.331823,1,1
11,1,-0.736143,0.010937,-0.329627,-0.394007,-0.379321,1,1
39,1,-0.872609,-0.133795,-0.406739,-0.368722,-0.317674,0,1
34,1,-0.886504,-0.087506,-0.470434,-0.414890,-0.427483,1,1
23,1,-0.770974,-0.034278,-0.473158,-0.399514,-0.423935,1,1
30,1,-0.761754,-0.091693,-0.440678,-0.460375,-0.444517,1,1
18,1,-0.814351,0.064689,-0.477135,-0.374209,-0.302679,1,0
7,1,-0.898654,-0.055999,-0.380633,-0.414196,-0.404020,1,1
31,1,-0.815711,-0.056418,-0.479075,-0.395473,-0.450210,1,1
8,1,-0.742769,-0.015086,-0.438906,-0.404619,-0.377407,1,1
5,1,-0.745989,0.024707,-0.386870,-0.448936,-0.413770,1,1
9,1,-0.880686,-0.013767,-0.285272,-0.452917,-0.317411,1,1
26,1,-0.739430,-0.076016,-0.430231,-0.417777,-0.364301,1,1
29,1,-0.807108,-0.117186,-0.428721,-0.436096,-0.382846,1,1
19,1,-0.857606,0.081872,-0.428743,-0.365694,-0.387756,1,0
25,1,-0.747334,-0.157924,-0.489512,-0.356878,-0.444694,0,1
38,1,-0.797306,-0.127679,-0.394133,-0.514658,-0.483081,1,1
24,1,-0.757595,-0.031462,-0.441069,-0.376518,-0.465557,1,1
3,1,-0.814929,0.042153,-0.451883,-0.412134,-0.342727,1,1
2,1,-0.863650,0.019503,-0.403276,-0.423355,-0.326167,1,1
22,1,-0.854291,-0.075079,-0.388114,-0.383874,-0.346837,1,1
14,1,-0.788008,-0.019169,-0.406138,-0.408641,-0.315909,1,1
32,1,-0.794478,-0.069991,-0.490246,-0.466458,-0.362400,1,1
35,1,-0.748542,-0.077106,-0.464425,-0.395531,-0.436643,1,1
36,1,-0.784138,-0.129660,-0.417688,-0.395905,-0.360544,1,1
6,1,-0.798895,-0.027462,-0.261173,-0.357936,-0.416671,1,1
21,1,-0.819212,-0.122732,-0.354472,-0.470424,-0.332942,1,1
17,1,-0.862983,-0.041094,-0.438188,-0.419266,-0.368686,1,1
4,1,-0.759713,0.019878,-0.556714,-0.372851,-0.333698,1,1
16,1,-0.870857,0.054212,-0.439937,-0.437128,-0.275350,1,0
15,1,-0.795416,-0.031961,-0.320185,-0.356905,-0.276350,1,1
27,1,-0.791216,-0.139010,-0.496217,-0.420697,-0.465239,1,1
61,2,-0.818566,-0.102572,-0.483449,-0.430312,-0.499019,1,1
66,2,-0.792919,-0.147878,-0.428910,-0.382666,-0.413733,1,1
69,2,-0.868198,-0.025488,-0.490399,-0.311879,-0.361151,1,1
54,2,-0.841911,0.014340,-0.439819,-0.355302,-0.364166,1,1
46,2,-0.729191,0.041286,-0.398481,-0.348185,-0.300128,1,1
73,2,-0.843090,-0.053020,-0.411747,-0.463367,-0.384559,1,1
63,2,-0.785880,-0.149263,-0.509074,-0.435490,-0.393517,0,1
50,2,-0.816605,-0.008042,-0.460488,-0.335691,-0.320832,1,1
62,2,-0.853678,-0.127239,-0.405667,-0.463562,-0.393090,1,1
78,2,-0.768882,-0.064271,-0.453839,-0.512150,-0.350363,1,1
48,2,-0.827495,0.055076,-0.338885,-0.367054,-0.315605,1,1
51,2,-0.707057,0.003995,-0.423088,-0.347494,-0.364778,1,1
40,2,-0.757221,0.080308,-0.429782,-0.364129,-0.321595,1,0
58,2,-0.827355,0.008923,-0.368981,-0.367611,-0.307079,1,1
42,2,-0.780056,0.067506,-0.372340,-0.307094,-0.311814,1,0
47,2,-0.701047,0.023771,-0.385077,-0.397263,-0.387436,1,1
72,2,-0.805936,-0.036843,-0.398127,-0.364683,-0.366107,1,1
55,2,-0.796617,0.038364,-0.455298,-0.360108,-0.347084,1,1
77,2,-0.829647,-0.109721,-0.457763,-0.462466,-0.305127,1,1
56,2,-0.729858,-0.019056,-0.376875,-0.331907,-0.341343,1,1
70,2,-0.825389,-0.124241,-0.332779,-0.352546,-0.381316,1,1
64,2,-0.857388,0.005027,-0.452296,-0.467013,-0.364183,1,1
49,2,-0.763989,0.029842,-0.488236,-0.371496,-0.473786,1,1
79,2,-0.746524,-0.044742,-0.458647,-0.516169,-0.372128,1,1
76,2,-0.863127,-0.078622,-0.325718,-0.415592,-0.383369,1,1
71,2,-0.769463,-0.099642,-0.491826,-0.485739,-0.390642,1,1
60,2,-0.834994,-0.060374,-0.400489,-0.403983,-0.403139,1,1
41,2,-0.739748,-0.066692,-0.315499,-0.377206,-0.382351,1,1
52,2,-0.753985,0.089226,-0.495245,-0.422503,-0.304878,1,0
65,2,-0.774371,-0.088295,-0.518182,-0.333317,-0.455975,1,1
68,2,-0.780381,-0.077294,-0.515848,-0.414264,-0.442604,1,1
44,2,-0.778330,-0.015648,-0.420848,-0.367434,-0.384128,1,1
59,2,-0.810664,-0.006553,-0.523828,-0.374832,-0.328188,1,1
