@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
33,1,-0.767783,-0.228393,0.022541,-0.016764,1,1
30,1,-0.757794,-0.127913,0.030719,0.038113,1,1
29,1,-0.792448,-0.108576,0.047512,-0.055957,1,1
7,1,-0.787399,-0.069787,-0.242713,-0.198991,1,1
19,1,-0.833343,-0.031818,-0.245847,-0.019888,1,1
31,1,-0.806402,-0.172824,0.067986,-0.036454,1,1
37,1,-0.755792,-0.164718,0.084207,-0.077535,1,1
2,1,-0.837999,-0.117849,-0.199468,-0.117611,1,1
15,1,-0.721406,-0.187280,-0.138188,-0.111503,1,1
11,1,-0.843842,-0.047568,-0.195279,-0.097597,1,1
12,1,-0.780902,-0.047921,-0.133614,-0.160846,1,1
38,1,-0.775540,-0.144427,-0.023332,-0.020304,1,1
26,1,-0.719840,-0.184010,-0.067953,0.042393,1,1
0,1,-0.812130,-0.114842,-0.156487,-0.176377,1,1
35,1,-0.792596,-0.161878,0.055344,0.018245,1,1
5,1,-0.831396,-0.051377,-0.144156,-0.108988,1,1
27,1,-0.737503,-0.239122,-0.032635,-0.152764,0,1
25,1,-0.733522,-0.083775,-0.022325,0.075799,1,1
14,1,-0.705919,-0.133856,-0.147301,-0.176281,1,1
39,1,-0.713135,-0.157297,0.030695,0.017276,1,1
18,1,-0.733262,-0.079997,-0.201639,-0.212640,1,1
20,1,-0.752733,-0.258503,-0.011441,-0.056460,0,1
24,1,-0.789286,-0.200230,0.022872,-0.090465,1,1
3,1,-0.735458,-0.035032,-0.087792,-0.236136,1,1
28,1,-0.759757,-0.062722,0.055287,-0.001950,1,1
9,1,-0.887042,-0.125658,-0.041421,-0.066528,1,1
4,1,-0.816293,-0.132604,-0.115617,-0.182185,1,1
21,1,-0.721526,-0.103052,-0.028313,0.015002,1,1
22,1,-0.697069,-0.098959,0.035134,0.003569,1,1
36,1,-0.754956,-0.113689,-0.058772,-0.046576,1,1
34,1,-0.695794,-0.128391,0.042866,-0.041046,1,1
13,1,-0.790043,-0.129542,-0.136097,-0.091020,1,1
23,1,-0.735325,-0.059652,0.054358,-0.024717,1,1
16,1,-0.758086,-0.078995,-0.094998,-0.103737,1,1
1,1,-0.758053,-0.076713,-0.056842,-0.147009,1,1
17,1,-0.913538,-0.102742,-0.191585,-0.200673,1,1
32,1,-0.776018,-0.232594,0.039397,-0.062647,0,1
6,1,-0.794084,-0.056291,-0.168254,-0.176115,1,1
8,1,-0.722847,-0.123511,-0.104799,-0.108947,1,1
10,1,-0.720012,-0.105789,-0.130923,-0.122689,1,1
61,2,-0.798910,-0.165400,-0.037319,-0.055346,1,1
72,2,-0.717352,-0.249408,-0.017086,-0.042482,0,1
62,2,-0.784807,-0.136186,-0.059104,-0.035426,1,1
71,2,-0.743433,-0.109880,-0.033503,-0.073324,1,1
76,2,-0.857605,-0.154502,0.051426,-0.041066,1,1
79,2,-0.774171,-0.182048,0.027190,-0.017620,1,1
41,2,-0.784435,-0.081051,-0.156173,-0.100380,1,1
43,2,-0.724271,-0.024495,-0.127979,-0.126668,1,1
52,2,-0.738501,-0.040615,-0.156562,-0.102642,1,1
60,2,-0.751753,-0.159060,0.013695,-0.042908,1,1
69,2,-0.684521,-0.126741,-0.038093,-0.073365,1,1
58,2,-0.723480,0.000839,-0.168713,-0.138402,1,0
57,2,-0.795931,0.013900,-0.130803,-0.072305,1,0
50,2,-0.775831,-0.111182,-0.074094,-0.216680,1,1
55,2,-0.779732,-0.110353,-0.057395,-0.222746,1,1
56,2,-0.816686,-0.148669,-0.213191,-0.110393,1,1
68,2,-0.777932,-0.252774,-0.010015,-0.135351,0,1
64,2,-0.767016,-0.161613,0.040419,0.039246,1,1
54,2,-0.855480,-0.094494,-0.267438,-0.100791,1,1
65,2,-0.760033,-0.152179,0.006377,-0.025728,1,1
40,2,-0.796580,-0.170398,-0.195457,-0.128866,1,1
75,2,-0.725225,-0.023113,0.015304,0.083757,1,1
51,2,-0.750918,0.009315,-0.146759,-0.138562,1,0
42,2,-0.649415,-0.058549,-0.222717,-0.112734,1,1
78,2,-0.820700,-0.124549,0.049094,-0.119912,1,1
59,2,-0.763491,-0.094126,-0.163219,-0.117698,1,1
53,2,-0.662225,-0.146250,-0.191326,-0.085952,1,1
73,2,-0.778623,-0.111539,-0.034678,-0.043062,1,1
45,2,-0.814626,-0.106829,-0.211250,-0.070394,1,1
77,2,-0.790187,-0.092122,0.108101,-0.069378,1,1
67,2,-0.824031,-0.170698,0.032861,-0.013357,1,1
63,2,-0.701889,-0.146508,-0.036458,0.023987,1,1
44,2,-0.697161,-0.082370,-0.178254,-0.181247,1,1
74,2,-0.743420,-0.142679,0.008858,0.023955,1,1
70,2,-0.847222,-0.127611,-0.017926,-0.063525,1,1
49,2,-0.825851,-0.007943,-0.162778,-0.149382,1,1
46,2,-0.703551,-0.068581,-0.192619,-0.133274,1,1
66,2,-0.839813,-0.068446,0.032251,-0.100091,1,1
47,2,-0.765612,-0.045265,-0.115572,-0.140225,1,1
48,2,-0.865344,0.070489,-0.176739,-0.154726,1,0
100,3,-0.770431,-0.095854,-0.046266,-0.132189,1,1
96,3,-0.765355,-0.062822,-0.168768,-0.199339,1,1
94,3,-0.779200,-0.143187,-0.182831,-0.142100,1,1
99,3,-0.722465,-0.070350,-0.221945,-0.219912,1,1
115,3,-0.776154,-0.105431,0.018158,-0.010161,1,1
86,3,-0.761955,-0.139549,-0.195078,-0.071834,1,1
112,3,-0.840077,-0.173779,-0.071637,0.022820,1,1
