@relation stream_gen

@attribute global_id NUMERIC
@attribute timestamp NUMERIC
@attribute f1 NUMERIC
@attribute f2 NUMERIC
@attribute f3 NUMERIC
@attribute f4 NUMERIC
@attribute f5 NUMERIC
@attribute class_0 {0,1}
@attribute class_1 {0,1}

@data
18,1,-0.469974,0.552100,0.537390,0.079534,0.145070,1,0
38,1,0.141028,0.732008,0.073306,0.473869,0.403887,0,1
1,1,-0.371563,0.660170,0.512075,0.047033,0.116356,1,0
29,1,0.125486,0.851441,0.151794,0.531892,0.439988,0,1
20,1,0.171946,0.708036,0.115987,0.517440,0.474572,0,1
14,1,-0.372377,0.653757,0.530463,0.169237,0.187124,1,0
15,1,-0.451511,0.634482,0.462125,0.203847,0.141139,1,0
9,1,-0.359465,0.634770,0.546298,0.134303,0.095918,1,0
23,1,0.172370,0.702947,0.122524,0.396658,0.472876,0,1
12,1,-0.429205,0.663233,0.436287,0.171149,0.143224,1,0
6,1,-0.348608,0.697521,0.517446,0.200329,0.066544,1,0
30,1,0.178894,0.619909,0.083336,0.541354,0.498492,0,1
39,1,0.179746,0.843499,0.065924,0.459340,0.465271,0,1
22,1,0.143364,0.799641,0.061948,0.532429,0.570834,0,1
26,1,0.143656,0.715376,0.150979,0.519802,0.538668,0,1
7,1,-0.394852,0.632443,0.473689,0.128225,0.191453,1,0
4,1,-0.287006,0.626327,0.468015,0.130166,0.181698,1,0
19,1,-0.252538,0.615529,0.397008,0.153733,0.193232,1,0
2,1,-0.453063,0.681338,0.355506,0.129838,0.238646,1,0
24,1,0.166905,0.716421,0.065833,0.459574,0.481522,0,1
27,1,0.181342,0.825013,0.029551,0.524319,0.513130,0,1
34,1,0.246428,0.701747,0.225387,0.522688,0.486582,0,1
25,1,0.162270,0.795966,0.120089,0.479755,0.519206,0,1
13,1,-0.389315,0.627005,0.503712,0.171539,0.204559,1,0
3,1,-0.402533,0.663625,0.579302,0.236117,0.210038,1,0
17,1,-0.399963,0.689416,0.479149,0.171430,0.225897,1,0
31,1,0.166864,0.697705,0.104603,0.527754,0.593329,0,1
32,1,0.194594,0.713469,0.105873,0.550911,0.440811,0,1
33,1,0.163660,0.649039,0.044219,0.441738,0.459241,0,1
28,1,0.168999,0.626028,0.146460,0.528889,0.479308,0,1
5,1,-0.423849,0.663283,0.482615,0.153061,0.179832,1,0
0,1,-0.298724,0.687045,0.546115,0.131480,0.091529,1,0
