global_id,timestamp,f1,f2,f3,f4,f5,class_0,class_1
1,1,-0.371563,0.660170,0.512075,0.047033,0.116356,1,0
18,1,-0.469974,0.552100,0.537390,0.079534,0.145070,1,0
7,1,-0.394852,0.632443,0.473689,0.128225,0.191453,1,0
27,1,0.181342,0.825013,0.029551,0.524319,0.513130,0,1
23,1,0.172370,0.702947,0.122524,0.396658,0.472876,0,1
5,1,-0.423849,0.663283,0.482615,0.153061,0.179832,1,0
6,1,-0.348608,0.697521,0.517446,0.200329,0.066544,1,0
22,1,0.143364,0.799641,0.061948,0.532429,0.570834,0,1
13,1,-0.389315,0.627005,0.503712,0.171539,0.204559,1,0
15,1,-0.451511,0.634482,0.462125,0.203847,0.141139,1,0
16,1,-0.324638,0.654986,0.481596,0.127320,0.115494,1,0
20,1,0.171946,0.708036,0.115987,0.517440,0.474572,0,1
34,1,0.246428,0.701747,0.225387,0.522688,0.486582,0,1
21,1,0.213433,0.781578,0.038798,0.493977,0.499927,0,1
31,1,0.166864,0.697705,0.104603,0.527754,0.593329,0,1
9,1,-0.359465,0.634770,0.546298,0.134303,0.095918,1,0
37,1,0.192779,0.720721,0.070389,0.455036,0.463565,0,1
12,1,-0.429205,0.663233,0.436287,0.171149,0.143224,1,0
28,1,0.168999,0.626028,0.146460,0.528889,0.479308,0,1
19,1,-0.252538,0.615529,0.397008,0.153733,0.193232,1,0
2,1,-0.453063,0.681338,0.355506,0.129838,0.238646,1,0
32,1,0.194594,0.713469,0.105873,0.550911,0.440811,0,1
8,1,-0.346084,0.641544,0.353178,0.063921,0.131385,1,0
38,1,0.141028,0.732008,0.073306,0.473869,0.403887,0,1
35,1,0.197322,0.799082,0.081708,0.600768,0.525822,0,1
24,1,0.166905,0.716421,0.065833,0.459574,0.481522,0,1
10,1,-0.473277,0.741507,0.462381,0.100055,0.309439,1,0
36,1,0.211496,0.789210,0.170564,0.505144,0.512574,0,1
3,1,-0.402533,0.663625,0.579302,0.236117,0.210038,1,0
29,1,0.125486,0.851441,0.151794,0.531892,0.439988,0,1
0,1,-0.298724,0.687045,0.546115,0.131480,0.091529,1,0
26,1,0.143656,0.715376,0.150979,0.519802,0.538668,0,1
39,1,0.179746,0.843499,0.065924,0.459340,0.465271,0,1
17,1,-0.399963,0.689416,0.479149,0.171430,0.225897,1,0
14,1,-0.372377,0.653757,0.530463,0.169237,0.187124,1,0
4,1,-0.287006,0.626327,0.468015,0.130166,0.181698,1,0
11,1,-0.349056,0.655672,0.393995,0.317196,0.122470,1,0
30,1,0.178894,0.619909,0.083336,0.541354,0.498492,0,1
25,1,0.162270,0.795966,0.120089,0.479755,0.519206,0,1
33,1,0.163660,0.649039,0.044219,0.441738,0.459241,0,1
69,2,0.222731,0.748277,0.192094,0.560842,0.474608,0,1
76,2,0.222657,0.675011,0.177945,0.455471,0.450081,0,1
79,2,0.089989,0.844023,0.085616,0.501834,0.511525,0,1
46,2,-0.372947,0.657141,0.447040,0.134063,0.151789,1,0
77,2,0.194837,0.774049,0.113672,0.457784,0.465949,0,1
57,2,-0.393091,0.630764,0.562972,0.211164,0.238668,1,0
44,2,-0.342311,0.654653,0.478273,0.202078,0.213950,1,0
65,2,0.139522,0.721372,0.101012,0.489167,0.442304,0,1
73,2,0.196004,0.722046,0.089915,0.451479,0.503238,0,1
72,2,0.151738,0.772498,0.108759,0.501917,0.486743,0,1
52,2,-0.328575,0.649863,0.431752,0.251872,0.135269,1,0
40,2,-0.312332,0.605639,0.531244,0.170949,0.123741,1,0
55,2,-0.291144,0.785837,0.517763,0.199496,0.079917,1,0
59,2,-0.331722,0.622661,0.407961,0.269376,0.106963,1,0
64,2,0.224325,0.714079,0.140134,0.512968,0.495273,0,1
70,2,0.201125,0.717641,0.104092,0.562505,0.491422,0,1
71,2,0.148574,0.750741,0.090271,0.425840,0.472127,0,1
62,2,0.167584,0.752745,0.139278,0.416367,0.477109,0,1
67,2,0.172239,0.875073,0.144063,0.432358,0.464791,0,1
58,2,-0.371260,0.765540,0.528680,0.215395,0.177480,1,0
51,2,-0.305413,0.691327,0.517778,0.311745,0.157592,1,0
41,2,-0.395877,0.722781,0.485058,0.243915,0.119836,1,0
43,2,-0.244403,0.675411,0.538238,0.226331,0.124128,1,0
74,2,0.199642,0.687464,0.122953,0.477324,0.446238,0,1
68,2,0.158519,0.665613,0.153397,0.527340,0.453490,0,1
60,2,0.215881,0.746858,0.112751,0.443615,0.489037,0,1
61,2,0.215538,0.720633,0.105756,0.436972,0.446384,0,1
47,2,-0.372266,0.725616,0.443830,0.246272,0.149123,1,0
78,2,0.069693,0.716853,0.102489,0.355394,0.510126,0,1
49,2,-0.341570,0.708317,0.527349,0.112783,0.182094,1,0
42,2,-0.315571,0.611990,0.347672,0.284988,0.051161,1,0
54,2,-0.312211,0.634997,0.395886,0.226037,0.068901,1,0
66,2,0.167213,0.760924,0.138116,0.487249,0.441201,0,1
63,2,0.079565,0.688519,0.155806,0.488098,0.494183,0,1
48,2,-0.369004,0.720182,0.468267,0.102904,0.140897,1,0
75,2,0.130541,0.673839,-0.008104,0.505432,0.343285,0,1
56,2,-0.364510,0.670851,0.412152,0.184851,0.153500,1,0
45,2,-0.232141,0.728933,0.468736,0.215556,0.119373,1,0
53,2,-0.316148,0.684282,0.505457,0.209544,0.183221,1,0
50,2,-0.341171,0.755649,0.526379,0.203333,0.181454,1,0
89,3,-0.185687,0.851089,0.443933,0.269791,0.208716,1,0
81,3,-0.272500,0.705972,0.401728,0.224356,0.208481,1,0
80,3,-0.225986,0.659517,0.466766,0.241532,0.110285,1,0
95,3,-0.201795,0.635717,0.415712,0.235875,0.179370,1,0
90,3,-0.169048,0.696689,0.604493,0.247436,0.117656,1,0
92,3,-0.138492,0.732499,0.501837,0.323395,0.057310,1,0
91,3,-0.210171,0.718695,0.495311,0.268674,0.091537,1,0
87,3,-0.229846,0.673402,0.523844,0.215398,0.157176,1,0
110,3,0.170242,0.745892,0.100368,0.486135,0.446743,0,1
94,3,-0.237160,0.678661,0.408255,0.270427,0.071434,1,0
112,3,0.190759,0.869474,0.045999,0.496944,0.436843,0,1
104,3,0.063840,0.756602,0.145305,0.415850,0.492474,0,1
